rbo,cluster,signature_name,current_p
0.377673560160131,K169-68,agrp,0.98
0.056878994667766,K169-69,agrp,0.98
0.004829170935944,K169-7,agrp,0.98
0.0305973277978828,K169-70,agrp,0.98
0.0043416786862497,K169-71,agrp,0.98
0.0239246783059199,K169-72,agrp,0.98
0.00237817775553561,K169-73,agrp,0.98
0.0544970286571816,K169-74,agrp,0.98
0.352252747160158,K169-75,agrp,0.98
0.0179452307559771,K169-76,agrp,0.98
0.00284522563158953,K169-77,agrp,0.98
0.00752518117433588,K169-78,agrp,0.98
0.00204014646071573,K169-79,agrp,0.98
0.00569183869079407,K169-8,agrp,0.98
0.0193929634182677,K169-80,agrp,0.98
0.0140794129975552,K169-81,agrp,0.98
0.0846836366225667,K169-82,agrp,0.98
0.0184397295294225,K169-83,agrp,0.98
0.00342486725879277,K169-84,agrp,0.98
0.00530072304789501,K169-85,agrp,0.98
0.000497503458437646,K169-86,agrp,0.98
0.000664646351605334,K169-87,agrp,0.98
0.0639289111290572,K169-88,agrp,0.98
0.0347247723718124,K169-89,agrp,0.98
0.0118894783953779,K169-9,agrp,0.98
0.00566421926681932,K169-90,agrp,0.98
0.0110508235043417,K169-91,agrp,0.98
0.00258195107964664,K169-92,agrp,0.98
0.000604349023914181,K169-93,agrp,0.98
0.0243042628173191,K169-94,agrp,0.98
0.0473886963982797,K169-95,agrp,0.98
0.0168329516555187,K169-96,agrp,0.98
0.0181163218648185,K169-97,agrp,0.98
0.00231116303198286,K169-98,agrp,0.98
0.0338622433563093,K169-99,agrp,0.98
0.0418679236320807,K169-1,glp1r,0.98
0.0192532690049883,K169-10,glp1r,0.98
0.015693269384714,K169-100,glp1r,0.98
0.00355963611528941,K169-101,glp1r,0.98
0.025577333172772,K169-102,glp1r,0.98
0.00790685030447561,K169-103,glp1r,0.98
0.00496858917570547,K169-104,glp1r,0.98
0.00717817130231199,K169-105,glp1r,0.98
0.0279283090838413,K169-106,glp1r,0.98
0.00794485524105491,K169-107,glp1r,0.98
0.0174549938035957,K169-108,glp1r,0.98
0.00443952127385533,K169-109,glp1r,0.98
0.00176014958549215,K169-11,glp1r,0.98
0.0200496289272642,K169-110,glp1r,0.98
0.00507016267786018,K169-111,glp1r,0.98
0.027310767038319,K169-112,glp1r,0.98
0.0271336835022951,K169-113,glp1r,0.98
0.0024280859003008,K169-114,glp1r,0.98
0.000478074945479086,K169-115,glp1r,0.98
0.015213977563679,K169-116,glp1r,0.98
0.000961394320997406,K169-117,glp1r,0.98
0.000819559601875629,K169-118,glp1r,0.98
0.0184530883750885,K169-119,glp1r,0.98
0.0338192281159567,K169-12,glp1r,0.98
0.00427879226102151,K169-120,glp1r,0.98
0.00243278820489277,K169-121,glp1r,0.98
0.00618335490508252,K169-122,glp1r,0.98
0.00357753627461678,K169-123,glp1r,0.98
0.0329012004083411,K169-124,glp1r,0.98
0.0424679116456251,K169-125,glp1r,0.98
0.00304852894921438,K169-126,glp1r,0.98
0.00739859535159665,K169-127,glp1r,0.98
0.0336995964226215,K169-128,glp1r,0.98
0.0049714321218986,K169-129,glp1r,0.98
0.0319875347738284,K169-13,glp1r,0.98
0.0134161781933297,K169-130,glp1r,0.98
0.00369641371648471,K169-131,glp1r,0.98
0.0287670059770723,K169-132,glp1r,0.98
0.00633887334287498,K169-133,glp1r,0.98
0.0464554222572936,K169-134,glp1r,0.98
5.06785758121878e-05,K169-135,glp1r,0.98
0.0280371931702403,K169-136,glp1r,0.98
0.0111007626846143,K169-137,glp1r,0.98
0.00696748524370004,K169-138,glp1r,0.98
0.0633784886715511,K169-139,glp1r,0.98
0.0349270152798194,K169-14,glp1r,0.98
0.0158423528673416,K169-140,glp1r,0.98
0.0880076143058158,K169-141,glp1r,0.98
0.0202714306200727,K169-142,glp1r,0.98
0.00133643313861744,K169-143,glp1r,0.98
0.130835178676073,K169-144,glp1r,0.98
0.0146214154314524,K169-145,glp1r,0.98
0.00401723704265058,K169-146,glp1r,0.98
0.00503978327978949,K169-148,glp1r,0.98
0.0190375076943376,K169-149,glp1r,0.98
0.0112781317999187,K169-15,glp1r,0.98
0.00695263375079034,K169-150,glp1r,0.98
0.0287834368178456,K169-151,glp1r,0.98
0.00697132987900673,K169-152,glp1r,0.98
0.0091923494014286,K169-153,glp1r,0.98
0.0488670380279464,K169-154,glp1r,0.98
0.049304084022506,K169-155,glp1r,0.98
0.00530970512599317,K169-156,glp1r,0.98
0.0402549315364258,K169-157,glp1r,0.98
0.00181592796668801,K169-158,glp1r,0.98
0.0601020529171558,K169-159,glp1r,0.98
0.000634942687605512,K169-16,glp1r,0.98
0.00122421308669511,K169-160,glp1r,0.98
0.0130476238719517,K169-161,glp1r,0.98
0.00943363068266657,K169-162,glp1r,0.98
0.0170032082921061,K169-163,glp1r,0.98
0.0185661577491257,K169-164,glp1r,0.98
0.00182110790454509,K169-165,glp1r,0.98
0.0236078244164168,K169-166,glp1r,0.98
0.0454202058168898,K169-167,glp1r,0.98
0.0120340094579861,K169-17,glp1r,0.98
0.00872989565466284,K169-170,glp1r,0.98
0,K169-171,glp1r,0.98
0.0238194574328872,K169-18,glp1r,0.98
0.0124457853926252,K169-19,glp1r,0.98
0.000543308715348814,K169-2,glp1r,0.98
0.00284474677437549,K169-20,glp1r,0.98
0.0868956540932489,K169-21,glp1r,0.98
0.00734871848801349,K169-22,glp1r,0.98
0.00434911244614463,K169-23,glp1r,0.98
0.0641689151420762,K169-24,glp1r,0.98
0.0015131756333154,K169-25,glp1r,0.98
0.000903989074504661,K169-26,glp1r,0.98
0.0065990857482743,K169-27,glp1r,0.98
0.0235453894698031,K169-28,glp1r,0.98
0.0422828395834261,K169-29,glp1r,0.98
0.00096037569691552,K169-3,glp1r,0.98
0.0150951888287425,K169-30,glp1r,0.98
0.0156291544576163,K169-31,glp1r,0.98
0.0421270775761121,K169-32,glp1r,0.98
0.00134642432586567,K169-33,glp1r,0.98
0.000324864208215629,K169-34,glp1r,0.98
0.0795937315591897,K169-35,glp1r,0.98
0.116915772229952,K169-36,glp1r,0.98
0.0363502949513185,K169-37,glp1r,0.98
0.0557719099061437,K169-38,glp1r,0.98
0.0557625474197393,K169-39,glp1r,0.98
0.0959297362247912,K169-4,glp1r,0.98
0.229806800616389,K169-40,glp1r,0.98
0.0091214221533124,K169-41,glp1r,0.98
0.0176271446598877,K169-42,glp1r,0.98
0.00204005885898605,K169-43,glp1r,0.98
0.077368988805617,K169-44,glp1r,0.98
0.0228546081496579,K169-45,glp1r,0.98
0.0188329143265933,K169-46,glp1r,0.98
0.000609908391635817,K169-47,glp1r,0.98
0.00378560757740612,K169-48,glp1r,0.98
0.000252445304789954,K169-49,glp1r,0.98
0.0119328277832323,K169-5,glp1r,0.98
0.0518844289880183,K169-50,glp1r,0.98
0.000203052407501845,K169-51,glp1r,0.98
0.00901513096725851,K169-52,glp1r,0.98
0.000340675305356149,K169-53,glp1r,0.98
7.36839199296771e-05,K169-54,glp1r,0.98
0.00918581037614193,K169-55,glp1r,0.98
0.00374181804576565,K169-56,glp1r,0.98
0.00205384421484599,K169-57,glp1r,0.98
0.0221061244799217,K169-58,glp1r,0.98
0.0291397525130537,K169-59,glp1r,0.98
0.122740433636479,K169-6,glp1r,0.98
0.0663902640885099,K169-60,glp1r,0.98
0.017471886650188,K169-61,glp1r,0.98
0.00445835103007251,K169-62,glp1r,0.98
