cluster	glp1r	pnoc
C286-145	0.000677235973294452	0.0136027150205872
C286-146	0.0346024686329998	0.0136961148224709
C286-147	0.0350753256950038	0.00461536337373509
C286-148	0.067891937299265	0.01545729079122
C286-149	0.0263629854397974	0.0154536079259102
C286-15	0.0110781876690823	0.0152252920114848
C286-150	0.00556881625239456	0.0185845212463751
C286-151	5.35614380109182e-06	0.0118610894242849
C286-152	0.0522688593764806	0.0002848626644798
C286-153	0.00618088520387636	0.00400427102401744
C286-154	0.0166929114774009	0.0511014158726089
C286-155	5.35614380109182e-06	0.0124640592499927
C286-156	0.00783427972571659	0.0305032113239981
C286-157	0.00161172365279004	0.0706557483961018
C286-158	0.0232661366054564	0.0782211528192414
C286-159	0.0172098509947101	0.0472689563653352
C286-16	0.0149996298616383	0.0557522550280881
C286-160	0.0342144279582113	0.018081601567175
C286-161	0.00129252016166216	0.013939872283172
C286-162	0.0315345876655953	0.0582877165501628
C286-163	0.0035273194639064	0.032213984843388
C286-164	0.0012852660974777	0.0634175765669326
C286-165	1.08727253545786e-05	0.069945645206499
C286-166	0.00479601760395192	0.0356035770884018
C286-167	0.0316209888503531	0.0530366809154769
C286-168	0.0260716390125677	0.0497107505477802
C286-169	0.0444293623066914	0.0382050200091604
C286-17	0.0122174056101481	0.022190466479725
C286-170	0.0167564264702327	0.118877487504932
C286-171	0.00330117021441884	0.138015375076318
C286-172	0.0837738713218589	0.097931814236258
C286-173	0.0913266323847273	0.00139487769092685
C286-174	0.102532313704027	0.0152555646440373
C286-175	0.123909467711527	0.0179854218819763
C286-176	0.0785150766992791	0.0227192058403503
C286-177	0.0464932360602279	0.0175060102285688
C286-178	0.00221593407712673	4.278583139241e-05
C286-179	0.0441899364925006	0.0730464110327633
C286-18	0.0582948455379171	0.0307582476839128
C286-180	0.0266116173490041	0.0885604244250402
C286-181	0.0632002125263954	0.038265952469228
C286-182	0.0373520301713441	0.0314595679066018
C286-183	0.0762972005975994	0.0816844563380099
C286-184	0.0183836264133269	0.0131498933700645
C286-185	0.0394258532203285	0.0251872124298461
C286-186	0.0154851635157735	0.0164765816135827
C286-187	0.00753588775427659	0.000143379975416321
C286-188	0	0.0102328722924553
C286-189	0.0275994563507121	0.01184189670214
C286-19	0.0796773903030471	0.0395390555582996
C286-190	1.87773366645544e-05	0.024349459259324
C286-191	0.00182709477972744	0.00765326499594672
C286-192	0.0127035405721563	0.00325119363683558
C286-193	0.015490535334466	0.00851080742022654
C286-194	0.0575903961775014	0.049158857920885
C286-195	0.0408855802616813	0.0133558599081459
C286-196	0.013525746816336	0.0267018337181173
C286-197	0.00648975035658755	0.0135809663096843
C286-198	0.00461205914565774	0.00130008222980591
C286-199	0.00444406472112224	5.71175809227542e-05
C286-2	0.00228653146138278	0.0282656184990557
C286-20	0.0278559694719502	0.0105279285219079
C286-200	0.015389114002407	0.000544537508212967
C286-201	0.0109463442316788	0.000279092869977831
C286-202	0.0101405334363249	0.00544683984799349
C286-203	0.00457215642761831	0.00205665847713904
C286-204	0.00541590475622622	0.0101317632962266
C286-205	0.00676725279831607	0.00756001000371697
