cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Nsg1,-1.15405849386655,1.73987203558267e-07,2.46629606832639e-09,0.286,0.646,-0.36,38
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl32,-1.00907875044593,1.82827240510129e-07,0.000783736491000326,0.043,0.511,-0.468,41
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tmsb4x,-1.25153247895861,1.91195788540956e-07,1.12509963799105e-08,0.143,0.575,-0.432,34
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Brd9,-0.745241887512904,2.06217261627166e-07,0.000708066411072212,0.714,0.851,-0.137,25
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Erp29,-1.01923055636059,2.59112137966911e-07,2.2208024123655e-07,0.257,0.634,-0.377,21
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp1b1,-1.2400270525072,3.47996823848863e-07,9.078261137471e-10,0.786,0.877,-0.091,58
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tecr,-0.964081903451475,3.50524887252348e-07,2.02706425551966e-07,0.929,0.914,0.015,48
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl28,-0.950529507092561,3.69928397570022e-07,4.22066099122892e-05,0.086,0.549,-0.463,30
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tmsb10,-1.30540316838974,4.42717825620665e-07,1.46899321963767e-11,0.443,0.705,-0.262,64
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Calm2,-1.01087173115365,4.84965890539219e-07,2.38842703138777e-08,0.914,0.925,-0.011,49
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl13,-1.15708012764066,5.55582662860881e-07,1.3030406046866e-08,0.2,0.604,-0.404,48
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl19,-1.27685923010996,6.00464587770038e-07,1.34074175396263e-10,0.271,0.634,-0.363,61
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl39,-0.910209386255471,6.44101729545107e-07,0.000157690196653083,0.071,0.526,-0.455,31
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufb5,-0.904593782181219,7.1513902587318e-07,7.70339714376578e-05,0.086,0.53,-0.444,39
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps8,-1.73492154876773,7.31917600988277e-07,1.19104113057612e-14,0.5,0.709,-0.209,64
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Oxt,-0.975485226222737,7.78080702358587e-07,7.3917562815969e-06,0.1,0.552,-0.452,52
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps5,-0.992028727147565,8.94290120344698e-07,4.86748749631243e-05,0.071,0.519,-0.448,39
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Dad1,-0.92685489783136,1.11644137122514e-06,9.46752221359803e-07,0.143,0.59,-0.447,41
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cox8a,-1.08585468823013,1.1232225795423e-06,9.04684744832531e-09,0.486,0.716,-0.23,31
