cluster_id,cluster_name,clusterlevel,ncells,likely_region,pct_of_all
K169-127,Ebf3.Tbr1.Nrn1.HY2,K169,283,Posterior/Mamillary region,0.33
K169-77,Crh.Gad2.Arx.HY1,K169,245,NA,0.29
K169-125,Gpr50.Hmx3.Hmx2.HY1,K169,280,Arcuate hypothalamic nucleus,0.33
K169-130,Nts.Npy.Otp.HY1,K169,268,NA,0.31
K169-141,Sst.Nrn1.HY2,K169,220,NA,0.26
K169-138,Nrn1.HY14.HY10.HY2,K169,228,Arcuate hypothalamic nucleus,0.27
K169-142,Hcrt.Rfx4.HY10.HY2,K169,224,NA,0.26
K169-28,Crabp1.Tcf7l2.Tbx3.HY1,K169,793,Arcuate hypothalamic nucleus,0.93
K169-145,Sln.Tbr1.Nrn1.HY2,K169,211,NA,0.25
K169-152,Ngfr.Lhx6.Arx.HY1,K169,151,NA,0.18
K169-155,Npy.Lhx6.Arx.HY1,K169,145,Preoptic region,0.17
K169-124,Meis2.St18.Arx.HY1,K169,280,Zona incerta,0.33
K169-159,Ucn3.Sim1.Nrn1.HY2,K169,79,Paraventricular hypothalamic nucleus,0.09
K169-153,C1ql1.Gad2.Arx.HY1,K169,149,Preoptic region,0.17
K169-161,Myo1a.Pitx2.Foxb1.HY2,K169,65,NA,0.08
K169-163,Crh.Crym.Ppp1r1b.HY2,K169,54,NA,0.06
K169-166,Gnrh1,K169,43,NA,0.05
K169-170,Gm5741.HY2,K169,25,NA,0.03
K240-36,Acvr1c.Gm8773.Agrp.Npy.Otp.HY1,K240,657,,0.77
K240-63,Serpina3n.Gm8773.Agrp.Npy.Otp.HY1,K240,491,,0.58
K240-64,Vwa5a.Gm8773.Agrp.Npy.Otp.HY1,K240,441,,0.52
K240-4,Vip.Cd24a.Six6.HY1,K240,965,,1.13
K240-85,Smim3.Gldn.Cd40.Fezf1.HY2,K240,410,,0.48
K240-97,Slc17a8.Meis2.Crym.Ppp1r1b.HY2,K240,381,,0.45
K240-126,C1ql1.Gng8.Samd3.Tbr1.Nrn1.HY2,K240,300,,0.35
K240-201,Lhx9.Gng8.Samd3.Tbr1.Nrn1.HY2,K240,107,,0.13
K240-150,Slc10a4.Lhx8.Nfix.St18.Arx.HY1,K240,253,,0.3
K240-184,Igfbp4.Lhx8.Nfix.St18.Arx.HY1,K240,173,,0.2
K240-146,Nr4a3.C1ql2.Nr5a1.Cd40.Fezf1.HY2,K240,248,,0.29
K240-159,Zfpm2.C1ql2.Nr5a1.Cd40.Fezf1.HY2,K240,200,,0.23
K240-94,Il1rapl2.Pthlh.Six3.Hmx2.HY1,K240,378,,0.44
K240-171,Ebf3.Crh.Pou3f3.Sim1.Nrn1.HY2,K240,207,,0.24
K240-183,Nfix.Crh.Pou3f3.Sim1.Nrn1.HY2,K240,174,,0.2
K240-174,Hdc.Prph.Lef1.Hmx2.HY1,K240,190,,0.22
K240-180,Gm8773.Prph.Lef1.Hmx2.HY1,K240,190,,0.22
K240-100,Sox14.Foxg1.HY14.HY10.HY2,K240,358,,0.42
K240-102,Gm13481.Gldn.Cd40.Fezf1.HY2,K240,346,,0.41
K240-3,Meis2.Adora2a.Crym.Ppp1r1b.HY2,K240,965,,1.13
K240-111,Trp73.Pax6.Tbr1.Nrn1.HY2,K240,351,,0.41
K240-117,Col6a1.Meis2.Tac1.Crym.Ppp1r1b.HY2,K240,305,,0.36
K240-215,Egr4.Meis2.Tac1.Crym.Ppp1r1b.HY2,K240,59,,0.07
K240-110,Lhx9.Foxg1.HY14.HY10.HY2,K240,333,,0.39
K240-112,C1ql3.Prokr2.Six6.HY1,K240,328,,0.38
K240-99,Fam81a.Prox1.Lhx8.Arx.HY1,K240,329,,0.39
K240-104,Crh.Lhx6.Arx.HY1,K240,328,,0.38
K240-121,Gm20754.Nfib.Six3.Hmx2.HY1,K240,314,,0.37
K240-129,Nefl.Skp1a.Gad2.Arx.HY1,K240,247,,0.29
K240-219,Rasd1.Skp1a.Gad2.Arx.HY1,K240,53,,0.06
K240-149,Gbx1.Lhx8.Lhx6.Arx.HY1,K240,373,,0.44
K240-119,Sox6.Tmem114.Lef1.Hmx2.HY1,K240,133,,0.16
K240-2,Tac2.Tbx3.HY1,K240,959,,1.12
K240-123,Npy2r.Gpr149.Cd40.Fezf1.HY2,K240,301,,0.35
K240-124,Shox2.Tbr1.Nrn1.HY2,K240,306,,0.36
K240-122,Nmu.Serpinb1b.Lhx8.Arx.HY1,K240,303,,0.36
K240-128,Hk2.HY14.HY10.HY2,K240,297,,0.35
K240-147,Meis2.St18.Arx.HY1,K240,280,,0.33
K240-137,Gpr50.Hmx3.Hmx2.HY1,K240,280,,0.33
K240-134,Pmaip1.Nfix.Gad2.Arx.HY1,K240,275,,0.32
K240-145,Ebf3.Tbr1.Nrn1.HY2,K240,266,,0.31
K240-133,Ebf1.Nkx2-4.Gsx1.Hmx2.HY1,K240,286,,0.34
K240-156,Tac2.Gad2.Arx.HY1,K240,249,,0.29
K240-109,Nov.Vip.Six6.HY1,K240,296,,0.35
K240-25,Prok2.Vip.Six6.HY1,K240,684,,0.8
K240-139,Nts.Npy.Otp.HY1,K240,268,,0.31
K240-151,Serpinf1.Serpinb1b.Lhx8.Arx.HY1,K240,248,,0.29
K240-148,Qrfp.Lhx9.Rfx4.HY10.HY2,K240,252,,0.3
K240-155,Scn4b.Crhbp.Sim1.Nrn1.HY2,K240,186,,0.22
K240-153,Otp.Gm28928.Hmx3.Hmx2.HY1,K240,235,,0.28
K240-154,Pthlh.Meis2.Crym.Ppp1r1b.HY2,K240,222,,0.26
K240-120,Tac2.Arx.Six6.HY1,K240,308,,0.36
K240-202,Foxb1.Pitx2.Tbr1.Nrn1.HY2,K240,116,,0.14
K240-157,Nrn1.HY14.HY10.HY2,K240,228,,0.27
K240-160,Parpbp.Otx1.HY10.HY2,K240,229,,0.27
K240-127,C1ql3.Gal.Zic1.Hmx3.Hmx2.HY1,K240,281,,0.33
K240-182,Tac2.Gal.Zic1.Hmx3.Hmx2.HY1,K240,183,,0.21
K240-60,Pmaip1.Gal.Zic1.Hmx3.Hmx2.HY1,K240,487,,0.57
K240-158,Pmaip1.Zic1.Hmx3.Hmx2.HY1,K240,225,,0.26
K240-166,Sst.Nrn1.HY2,K240,220,,0.26
K240-162,Hcrt.Rfx4.HY10.HY2,K240,224,,0.26
K240-144,Pdzrn3.Alk.Epha6.Fezf1.HY2,K240,265,,0.31
K240-167,Smim3.Oxt,K240,215,,0.25
K240-168,Sln.Tbr1.Nrn1.HY2,K240,211,,0.25
K240-172,Pou6f2.Calca.Gad2.Arx.HY1,K240,195,,0.23
K240-173,Satb2.Sp9.Gad2.Arx.HY1,K240,201,,0.24
K240-175,Trh.Ppp1r17.Hmx2.HY1,K240,172,,0.2
K240-125,Gsc.Otp.Ebf1.Sim1.Nrn1.HY2,K240,327,,0.38
K240-49,Trh.Otp.Ebf1.Sim1.Nrn1.HY2,K240,580,,0.68
K240-187,Foxd2.Otx1.HY10.HY2,K240,153,,0.18
K240-188,Mab21l2.Pax6.Tbr1.Nrn1.HY2,K240,156,,0.18
K240-193,Ngfr.Lhx6.Arx.HY1,K240,151,,0.18
K240-210,C1ql1.Gad2.Arx.HY1,K240,72,,0.08
K240-198,Npvf.Lhx9.Rfx4.HY10.HY2,K240,146,,0.17
K240-197,Npy.Lhx6.Arx.HY1,K240,145,,0.17
K240-178,PrkcSp9.Gad2.Arx.HY1,K240,137,,0.16
K240-207,Ucn3.Samd3.Tbr1.Nrn1.HY2,K240,100,,0.12
K240-208,Meis2.Prox1.Lhx8.Arx.HY1,K240,90,,0.11
K240-212,Ucn3.Sim1.Nrn1.HY2,K240,79,,0.09
K240-7,Meis2.Ppp1r1b.HY2,K240,907,,1.06
K240-211,Sox3.Il1rapl2.Epha6.Fezf1.HY2,K240,82,,0.1
K240-216,Myo1a.Pitx2.Foxb1.HY2,K240,65,,0.08
K240-218,Foxp2.Crh.Lhx8.Arx.HY1,K240,63,,0.07
K240-214,Crh.Crym.Ppp1r1b.HY2,K240,54,,0.06
K240-217,Dmrta2.Ebf1.Sim1.Nrn1.HY2,K240,54,,0.06
K240-220,Th.Adora2a.Crym.Ppp1r1b.HY2,K240,50,,0.06
K240-224,Gnrh1,K240,43,,0.05
K240-8,Col6a1.Nfib.Six3.Hmx2.HY1,K240,904,,1.06
K240-227,Gm5741.HY2,K240,25,,0.03
K240-141,Dlx1.Cck.Ppp1r17.Hmx2.HY1,K240,276,,0.32
K240-39,Grp.Cck.Ppp1r17.Hmx2.HY1,K240,612,,0.72
K240-73,Scn4b.Drd1.Tac1.Crym.Ppp1r1b.HY2,K240,399,,0.47
K240-75,Meis2.Drd1.Tac1.Crym.Ppp1r1b.HY2,K240,517,,0.61
K240-14,Hmcn2.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K240,708,,0.83
K240-89,Megf11.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K240,466,,0.55
K240-98,Prkd1.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K240,339,,0.4
K240-74,Pou6f2.Crhbp.Gad2.Arx.HY1,K240,467,,0.55
K240-76,Zic1.Crhbp.Gad2.Arx.HY1,K240,451,,0.53
K240-11,Cartpt.Anxa2.Pomc.Tcf7l2.Tbx3.HY1,K240,821,,0.96
K240-206,Bcl11b.Anxa2.Pomc.Tcf7l2.Tbx3.HY1,K240,101,,0.12
K240-70,Dkk2.Ebf3.Foxb1.HY2,K240,457,,0.54
K240-91,Emx2.Ebf3.Foxb1.HY2,K240,386,,0.45
K240-12,Cd44.Nts.Ctxn3.Pitx2.Foxb1.HY2,K240,817,,0.96
K240-203,Pou6f2.Nts.Ctxn3.Pitx2.Foxb1.HY2,K240,108,,0.13
K240-16,Sstr1.Sst.Il1rapl2.Otp.HY1,K240,749,,0.88
K240-107,Barhl2.Irx3.Pitx2.Tbr1.Nrn1.HY2,K240,345,,0.4
K240-115,Slc6a3.Irx3.Pitx2.Tbr1.Nrn1.HY2,K240,333,,0.39
K240-192,Barhl1.Irx3.Pitx2.Tbr1.Nrn1.HY2,K240,150,,0.18
K240-101,Rbms2.Fgf10.Gpr149.Cd40.Fezf1.HY2,K240,358,,0.42
K240-199,Gm37401.Fgf10.Gpr149.Cd40.Fezf1.HY2,K240,136,,0.16
K240-90,Gpc5.Fgf10.Gpr149.Cd40.Fezf1.HY2,K240,354,,0.42
K240-20,Gm43122.Adarb2.Cd40.Fezf1.HY2,K240,775,,0.91
K240-13,Crabp1.Tcf7l2.Tbx3.HY1,K240,791,,0.93
K240-116,Mab21l2.Trh.Sim1.Nrn1.HY2,K240,327,,0.38
K240-140,Sncg.Trh.Sim1.Nrn1.HY2,K240,251,,0.29
K240-71,Cbln2.Trh.Sim1.Nrn1.HY2,K240,458,,0.54
K240-177,Cntnap5b.SgcAlk.Epha6.Fezf1.HY2,K240,192,,0.23
K240-18,Fam19a1.SgcAlk.Epha6.Fezf1.HY2,K240,745,,0.87
K240-191,Cenpf.SgcAlk.Epha6.Fezf1.HY2,K240,163,,0.19
K240-67,Gm37401.SgcAlk.Epha6.Fezf1.HY2,K240,433,,0.51
K240-50,Penk.Arx.Six6.HY1,K240,537,,0.63
K240-22,Lef1.HY14.HY10.HY2,K240,780,,0.91
K240-19,Sytl4.Tmem215.Tcf7l2.Tbx3.HY1,K240,942,,1.1
K240-118,Fam159b.Adarb2.Onecut2.Gad2.Arx.HY1,K240,321,,0.38
K240-77,Tacr3.Adarb2.Onecut2.Gad2.Arx.HY1,K240,450,,0.53
K240-21,Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2,K240,728,,0.85
K240-23,Ttr.Pomc.Tcf7l2.Tbx3.HY1,K240,727,,0.85
K240-15,Dkk2.Nms.Six6.HY1,K240,715,,0.84
K240-143,Gal.Gsx1.Hmx3.Hmx2.HY1,K240,265,,0.31
K240-223,Meis2.Gsx1.Hmx3.Hmx2.HY1,K240,38,,0.04
K240-69,Crh.Gsx1.Hmx3.Hmx2.HY1,K240,474,,0.56
K240-45,Th.Prok2.Hmx3.Hmx2.HY1,K240,739,,0.87
K240-26,Crabp1.Nfib.Six3.Hmx2.HY1,K240,711,,0.83
K240-194,Vipr2.Grin2c.Nms.Six6.HY1,K240,157,,0.18
K240-54,Ppp1r17.Grin2c.Nms.Six6.HY1,K240,525,,0.62
K240-9,Avp.Grin2c.Nms.Six6.HY1,K240,887,,1.04
K240-30,Ebf3.Oxt,K240,704,,0.83
K240-205,Meis2.Gpc4.Calca.Gad2.Arx.HY1,K240,88,,0.1
K240-43,Arhgap36.Gpc4.Calca.Gad2.Arx.HY1,K240,623,,0.73
K240-27,Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2,K240,679,,0.8
K240-29,Gm30382.Il1rapl2.Epha6.Fezf1.HY2,K240,672,,0.79
K240-28,Trh.Nkx2-4.Gsx1.Hmx2.HY1,K240,673,,0.79
K240-31,Nfix.Fam159b.Satb2.HY1,K240,672,,0.79
K240-189,Wnt2.Prok2.Tac1.Crym.Ppp1r1b.HY2,K240,178,,0.21
K240-58,Crh.Prok2.Tac1.Crym.Ppp1r1b.HY2,K240,486,,0.57
K240-34,Kirrel3.C1ql2.Epha6.Fezf1.HY2,K240,684,,0.8
K240-35,Sox14.Lef1.Hmx2.HY1,K240,657,,0.77
K240-108,Ttn.Nfib.Nfix.Gad2.Arx.HY1,K240,339,,0.4
K240-185,Mfge8.Nfib.Nfix.Gad2.Arx.HY1,K240,128,,0.15
K240-96,Htr3a.Nfib.Nfix.Gad2.Arx.HY1,K240,360,,0.42
K240-5,Vipr2.Prokr2.Six6.HY1,K240,1014,,1.19
K240-32,Sox6.Npy.Otp.HY1,K240,661,,0.78
K240-176,Ogdhl.Mobp.Sepp1.Pitx2.Foxb1.HY2,K240,165,,0.19
K240-196,Ermn.Mobp.Sepp1.Pitx2.Foxb1.HY2,K240,143,,0.17
K240-88,Gm27032.Mobp.Sepp1.Pitx2.Foxb1.HY2,K240,387,,0.45
K240-37,Bace2.Tcf7l2.Tbx3.HY1,K240,653,,0.77
K240-40,Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2,K240,657,,0.77
K240-209,Slc30a3.Sncg.Gad2.Arx.HY1,K240,84,,0.1
K240-44,Pmfbp1.Sncg.Gad2.Arx.HY1,K240,583,,0.68
K240-47,Cplx1.Gad2.Arx.HY1,K240,636,,0.75
K240-38,Tmem215.St18.Arx.HY1,K240,643,,0.75
K240-33,Prkd1.Nr5a1.Cd40.Fezf1.HY2,K240,706,,0.83
K240-42,Pthlh.Bcl11b.Il1rapl2.Otp.HY1,K240,597,,0.7
K240-106,Cyp26a1.Sfrp1.Lhx8.Lhx6.Arx.HY1,K240,296,,0.35
K240-138,Ntn1.Sfrp1.Lhx8.Lhx6.Arx.HY1,K240,307,,0.36
K240-1,Ghrh.Gsx1.Hmx2.HY1,K240,1114,,1.31
K240-179,Nts.Crh.Hmx3.Hmx2.HY1,K240,175,,0.21
K240-83,Gal.Crh.Hmx3.Hmx2.HY1,K240,431,,0.51
K240-48,Samd3.Meis2.Tbr1.Nrn1.HY2,K240,593,,0.7
K240-57,BC048546.Alk.Epha6.Fezf1.HY2,K240,511,,0.6
K240-105,Gbx1.Sema3c.Lhx8.Lhx6.Arx.HY1,K240,293,,0.34
K240-142,Npas1.Sema3c.Lhx8.Lhx6.Arx.HY1,K240,243,,0.28
K240-72,Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2,K240,485,,0.57
K240-46,Postn.Ctxn3.Pitx2.Foxb1.HY2,K240,562,,0.66
K240-79,Bdnf.C1ql2.Epha6.Fezf1.HY2,K240,507,,0.59
K240-52,Nr5a2.Satb2.HY1,K240,533,,0.62
K240-51,Sst.Agrp.Npy.Otp.HY1,K240,563,,0.66
K240-56,Slc6a3.Fam159b.Satb2.HY1,K240,524,,0.61
K240-6,Ttn.Sall3.Pitx2.Foxb1.HY2,K240,931,,1.09
K240-55,Gm28928.Pthlh.Six3.Hmx2.HY1,K240,533,,0.62
K240-132,Prdm12.Slc30a3.Meis2.Gad2.Arx.HY1,K240,283,,0.33
K240-164,Sp8.Slc30a3.Meis2.Gad2.Arx.HY1,K240,219,,0.26
K240-226,Pax6.Slc30a3.Meis2.Gad2.Arx.HY1,K240,44,,0.05
K240-103,Th.Gpc3.Sst.Il1rapl2.Otp.HY1,K240,389,,0.46
K240-181,Zfp804b.Gpc3.Sst.Il1rapl2.Otp.HY1,K240,179,,0.21
K240-59,Tcf7l2.Tmem114.Lef1.Hmx2.HY1,K240,514,,0.6
K240-66,Pmaip1.Calca.Gad2.Arx.HY1,K240,480,,0.56
K240-61,Serpina3n.Agrp.Npy.Otp.HY1,K240,473,,0.55
K240-10,Igfbp4.Prokr2.Six6.HY1,K240,498,,0.58
K240-169,Crh.Gad2.Arx.HY1,K240,245,,0.29
K240-190,Th.Sema3a.Crh.Lhx8.Arx.HY1,K240,151,,0.18
K240-95,Pou3f1.Sema3a.Crh.Lhx8.Arx.HY1,K240,361,,0.42
K240-65,Esr1.Cd40.Fezf1.HY2,K240,477,,0.56
K240-136,Gm28928.Satb2.Adarb2.Cd40.Fezf1.HY2,K240,267,,0.31
K240-17,Necab1.Satb2.Adarb2.Cd40.Fezf1.HY2,K240,813,,0.95
K240-152,Crh.Eomes.Foxg1.HY14.HY10.HY2,K240,246,,0.29
K240-161,C1ql2.Eomes.Foxg1.HY14.HY10.HY2,K240,229,,0.27
K240-80,Lhx1.Cd24a.Six6.HY1,K240,426,,0.5
K240-62,Pomc.Tmem215.Tcf7l2.Tbx3.HY1,K240,468,,0.55
K240-131,Trh.Otp.Crhbp.Sim1.Nrn1.HY2,K240,244,,0.29
K240-165,Ebf1.Otp.Crhbp.Sim1.Nrn1.HY2,K240,230,,0.27
K240-82,Pvalb.Meis2.Gad2.Arx.HY1,K240,457,,0.54
K240-93,Pax6.Nfix.St18.Arx.HY1,K240,428,,0.5
K240-225,Pdgfra.Slc7a10.Sepp1.Pitx2.Foxb1.HY2,K240,51,,0.06
K240-92,Gja1.Slc7a10.Sepp1.Pitx2.Foxb1.HY2,K240,356,,0.42
K240-113,Lypd1.Six6.Onecut2.Gad2.Arx.HY1,K240,327,,0.38
K240-200,Etv1.Six6.Onecut2.Gad2.Arx.HY1,K240,113,,0.13
K240-81,Ebf3.Pou3f3.Sim1.Nrn1.HY2,K240,440,,0.52
K240-78,Vcan.Bcl11b.Il1rapl2.Otp.HY1,K240,441,,0.52
K240-24,Cck.Prokr2.Six6.HY1,K240,1026,,1.2
