cluster_id,cluster_name,clusterlevel,ncells,likely_region,pct_of_all
K329-106,Crh.Lhx6.Arx.HY1,K329,328,,0.39
K329-143,Gbx1.Sema3c.Lhx8.Lhx6.Arx.HY1,K329,293,,0.34
K329-129,Cyp26a1.Sfrp1.Lhx8.Lhx6.Arx.HY1,K329,296,,0.35
K329-86,Barhl2.Irx3.Pitx2.Tbr1.Nrn1.HY2,K329,345,,0.41
K329-61,Ttn.Nfib.Nfix.Gad2.Arx.HY1,K329,339,,0.4
K329-107,Nov.Vip.Six6.HY1,K329,296,,0.35
K329-1,Cartpt.Anxa2.Pomc.Tcf7l2.Tbx3.HY1,K329,820,,0.96
K329-102,Lhx9.Foxg1.HY14.HY10.HY2,K329,333,,0.39
K329-97,Trp73.Pax6.Tbr1.Nrn1.HY2,K329,351,,0.41
K329-98,C1ql3.Prokr2.Six6.HY1,K329,328,,0.39
K329-110,Lypd1.Six6.Onecut2.Gad2.Arx.HY1,K329,327,,0.38
K329-95,Crhbp.Crh.Lhx8.Arx.HY1,K329,350,,0.41
K329-144,Cd36.Slc6a3.Irx3.Pitx2.Tbr1.Nrn1.HY2,K329,273,,0.32
K329-265,Rxfp1.Slc6a3.Irx3.Pitx2.Tbr1.Nrn1.HY2,K329,60,,0.07
K329-101,Mab21l2.Trh.Sim1.Nrn1.HY2,K329,327,,0.38
K329-119,Col6a1.Meis2.Tac1.Crym.Ppp1r1b.HY2,K329,305,,0.36
K329-105,Fam159b.Adarb2.Onecut2.Gad2.Arx.HY1,K329,321,,0.38
K329-233,Sox6.Tmem114.Lef1.Hmx2.HY1,K329,129,,0.15
K329-4,Cd44.Nts.Ctxn3.Pitx2.Foxb1.HY2,K329,816,,0.96
K329-194,Igfbp5.Tac2.Arx.Six6.HY1,K329,181,,0.21
K329-237,Sst.Tac2.Arx.Six6.HY1,K329,127,,0.15
K329-125,Gm20754.Nfib.Six3.Hmx2.HY1,K329,314,,0.37
K329-118,Nmu.Serpinb1b.Lhx8.Arx.HY1,K329,303,,0.36
K329-116,Npy2r.Gpr149.Cd40.Fezf1.HY2,K329,301,,0.35
K329-120,Shox2.Tbr1.Nrn1.HY2,K329,305,,0.36
K329-130,Gsc.Otp.Ebf1.Sim1.Nrn1.HY2,K329,307,,0.36
K329-123,C1ql1.Gng8.Samd3.Tbr1.Nrn1.HY2,K329,300,,0.35
K329-142,C1ql3.Gal.Zic1.Hmx3.Hmx2.HY1,K329,281,,0.33
K329-127,Hk2.HY14.HY10.HY2,K329,297,,0.35
K329-152,Nefl.Skp1a.Gad2.Arx.HY1,K329,247,,0.29
K329-2,Crabp1.Tcf7l2.Tbx3.HY1,K329,791,,0.93
K329-132,Ebf3.Gpr50.Pou3f3.Sim1.Nrn1.HY2,K329,289,,0.34
K329-138,Trh.Otp.Crhbp.Sim1.Nrn1.HY2,K329,244,,0.29
K329-136,Prdm12.Slc30a3.Meis2.Gad2.Arx.HY1,K329,283,,0.33
K329-133,Ebf1.Nkx2-4.Gsx1.Hmx2.HY1,K329,286,,0.34
K329-140,Pmaip1.Nfix.Gad2.Arx.HY1,K329,275,,0.32
K329-128,Sox6.Adarb2.Gm28928.Hmx3.Hmx2.HY1,K329,277,,0.33
K329-153,Gm28928.Satb2.Adarb2.Cd40.Fezf1.HY2,K329,267,,0.31
K329-141,Gpr50.Hmx3.Hmx2.HY1,K329,280,,0.33
K329-108,Ntn1.Sfrp1.Lhx8.Lhx6.Arx.HY1,K329,307,,0.36
K329-149,Nts.Npy.Otp.HY1,K329,268,,0.31
K329-24,Hydin.Hmcn2.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K329,597,,0.7
K329-259,Adarb2.Hmcn2.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K329,111,,0.13
K329-157,Sncg.Trh.Sim1.Nrn1.HY2,K329,251,,0.29
K329-147,Dlx1.Cck.Ppp1r17.Hmx2.HY1,K329,276,,0.32
K329-165,Npas1.Sema3c.Lhx8.Lhx6.Arx.HY1,K329,243,,0.29
K329-137,Gal.Gsx1.Hmx3.Hmx2.HY1,K329,265,,0.31
K329-121,Pdzrn3.Alk.Epha6.Fezf1.HY2,K329,265,,0.31
K329-158,Ebf3.Tbr1.Nrn1.HY2,K329,266,,0.31
K329-162,Nr4a3.C1ql2.Nr5a1.Cd40.Fezf1.HY2,K329,248,,0.29
K329-231,Pax6.Meis2.St18.Arx.HY1,K329,140,,0.16
K329-234,Sema3e.Meis2.St18.Arx.HY1,K329,135,,0.16
K329-163,Qrfp.Lhx9.Rfx4.HY10.HY2,K329,252,,0.3
K329-166,Fam19a4.Gbx1.Lhx8.Lhx6.Arx.HY1,K329,243,,0.29
K329-236,Bhlhe22.Gbx1.Lhx8.Lhx6.Arx.HY1,K329,130,,0.15
K329-27,Dkk2.Nms.Six6.HY1,K329,715,,0.84
K329-161,Slc10a4.Lhx8.Nfix.St18.Arx.HY1,K329,253,,0.3
K329-172,Serpinf1.Serpinb1b.Lhx8.Arx.HY1,K329,248,,0.29
K329-167,Crh.Eomes.Foxg1.HY14.HY10.HY2,K329,246,,0.29
K329-169,Otp.Gm28928.Hmx3.Hmx2.HY1,K329,235,,0.28
K329-181,Pthlh.Meis2.Crym.Ppp1r1b.HY2,K329,222,,0.26
K329-189,Scn4b.Crhbp.Sim1.Nrn1.HY2,K329,186,,0.22
K329-175,Tac2.Gad2.Arx.HY1,K329,249,,0.29
K329-176,Nrn1.HY14.HY10.HY2,K329,228,,0.27
K329-212,Htr2c.Pmaip1.Zic1.Hmx3.Hmx2.HY1,K329,170,,0.2
K329-267,Tspo.Pmaip1.Zic1.Hmx3.Hmx2.HY1,K329,55,,0.06
K329-185,Zfpm2.C1ql2.Nr5a1.Cd40.Fezf1.HY2,K329,200,,0.23
K329-3,Sstr1.Sst.Il1rapl2.Otp.HY1,K329,745,,0.87
K329-177,Parpbp.Otx1.HY10.HY2,K329,228,,0.27
K329-174,C1ql2.Eomes.Foxg1.HY14.HY10.HY2,K329,229,,0.27
K329-180,Hcrt.Rfx4.HY10.HY2,K329,224,,0.26
K329-184,Tcf7l2.Dmrta2.Meis2.Tbr1.Nrn1.HY2,K329,217,,0.25
K329-227,Sp8.Slc30a3.Meis2.Gad2.Arx.HY1,K329,219,,0.26
K329-173,Ebf1.Otp.Crhbp.Sim1.Nrn1.HY2,K329,230,,0.27
K329-182,Sst.Nrn1.HY2,K329,220,,0.26
K329-187,Smim3.Oxt,K329,215,,0.25
K329-205,Sln.Tbr1.Nrn1.HY2,K329,211,,0.25
K329-171,Crh.Gad2.Arx.HY1,K329,245,,0.29
K329-178,Gm26551.Necab1.Satb2.Adarb2.Cd40.Fezf1.HY2,K329,203,,0.24
K329-188,Pdzrn3.Necab1.Satb2.Adarb2.Cd40.Fezf1.HY2,K329,213,,0.25
K329-74,Setdb2.Necab1.Satb2.Adarb2.Cd40.Fezf1.HY2,K329,397,,0.47
K329-196,Samd3.Dmrta2.Meis2.Tbr1.Nrn1.HY2,K329,203,,0.24
K329-191,Ebf3.Crh.Pou3f3.Sim1.Nrn1.HY2,K329,207,,0.24
K329-192,Pou6f2.Calca.Gad2.Arx.HY1,K329,195,,0.23
K329-170,Satb2.Sp9.Gad2.Arx.HY1,K329,201,,0.24
K329-199,Hdc.Prph.Lef1.Hmx2.HY1,K329,190,,0.22
K329-210,Trh.Ppp1r17.Hmx2.HY1,K329,172,,0.2
K329-202,Ogdhl.Mobp.Sepp1.Pitx2.Foxb1.HY2,K329,164,,0.19
K329-200,Cntnap5b.SgcAlk.Epha6.Fezf1.HY2,K329,192,,0.23
K329-208,PrkcSp9.Gad2.Arx.HY1,K329,137,,0.16
K329-213,Nts.Crh.Hmx3.Hmx2.HY1,K329,175,,0.21
K329-13,Fam19a1.SgcAlk.Epha6.Fezf1.HY2,K329,745,,0.87
K329-201,Gm8773.Prph.Lef1.Hmx2.HY1,K329,190,,0.22
K329-204,Zfp804b.Gpc3.Sst.Il1rapl2.Otp.HY1,K329,179,,0.21
K329-209,Tac2.Gal.Zic1.Hmx3.Hmx2.HY1,K329,183,,0.21
K329-215,Nfix.Crh.Pou3f3.Sim1.Nrn1.HY2,K329,174,,0.2
K329-214,Igfbp4.Lhx8.Nfix.St18.Arx.HY1,K329,173,,0.2
K329-239,Mfge8.Nfib.Nfix.Gad2.Arx.HY1,K329,128,,0.15
K329-220,Cd24a.Adarb2.Gm28928.Hmx3.Hmx2.HY1,K329,165,,0.19
K329-224,Foxd2.Otx1.HY10.HY2,K329,153,,0.18
K329-221,Mab21l2.Pax6.Tbr1.Nrn1.HY2,K329,156,,0.18
K329-211,Wnt2.Prok2.Tac1.Crym.Ppp1r1b.HY2,K329,178,,0.21
K329-25,Crabp1.Sytl4.Tmem215.Tcf7l2.Tbx3.HY1,K329,579,,0.68
K329-81,Gpr101.Sytl4.Tmem215.Tcf7l2.Tbx3.HY1,K329,363,,0.43
K329-222,Th.Sema3a.Crh.Lhx8.Arx.HY1,K329,151,,0.18
K329-195,Cenpf.SgcAlk.Epha6.Fezf1.HY2,K329,163,,0.19
K329-223,Barhl1.Irx3.Pitx2.Tbr1.Nrn1.HY2,K329,150,,0.18
K329-225,Ngfr.Lhx6.Arx.HY1,K329,151,,0.18
K329-217,Vipr2.Grin2c.Nms.Six6.HY1,K329,151,,0.18
K329-230,Reln.Fbxw13.Sp9.Gad2.Arx.HY1,K329,140,,0.16
K329-232,Ermn.Mobp.Sepp1.Pitx2.Foxb1.HY2,K329,142,,0.17
K329-226,Npy.Lhx6.Arx.HY1,K329,145,,0.17
K329-228,Npvf.Lhx9.Rfx4.HY10.HY2,K329,146,,0.17
K329-229,Gm37401.Fgf10.Gpr149.Cd40.Fezf1.HY2,K329,136,,0.16
K329-29,Rxfp1.Tac2.Tbx3.HY1,K329,571,,0.67
K329-72,Col24a1.Tac2.Tbx3.HY1,K329,388,,0.46
K329-114,Lima1.Gm43122.Adarb2.Cd40.Fezf1.HY2,K329,334,,0.39
K329-59,Gldn.Gm43122.Adarb2.Cd40.Fezf1.HY2,K329,441,,0.52
K329-244,Etv1.Six6.Onecut2.Gad2.Arx.HY1,K329,113,,0.13
K329-249,Lhx9.Gng8.Samd3.Tbr1.Nrn1.HY2,K329,107,,0.13
K329-247,Foxb1.Pitx2.Tbr1.Nrn1.HY2,K329,111,,0.13
K329-248,Pou6f2.Nts.Ctxn3.Pitx2.Foxb1.HY2,K329,108,,0.13
K329-245,Cckar.Gpr50.Pou3f3.Sim1.Nrn1.HY2,K329,113,,0.13
K329-253,Meis2.Gpc4.Calca.Gad2.Arx.HY1,K329,88,,0.1
K329-242,Bcl11b.Anxa2.Pomc.Tcf7l2.Tbx3.HY1,K329,98,,0.12
K329-251,Ucn3.Samd3.Tbr1.Nrn1.HY2,K329,100,,0.12
K329-255,Meis2.Prox1.Lhx8.Arx.HY1,K329,90,,0.11
K329-256,Slc30a3.Sncg.Gad2.Arx.HY1,K329,84,,0.1
K329-7,Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2,K329,728,,0.85
K329-252,C1ql1.Gad2.Arx.HY1,K329,72,,0.08
K329-260,Sox3.Il1rapl2.Epha6.Fezf1.HY2,K329,82,,0.1
K329-261,Ucn3.Sim1.Nrn1.HY2,K329,79,,0.09
K329-258,Crh.Crym.Ppp1r1b.HY2,K329,54,,0.06
K329-266,Egr4.Meis2.Tac1.Crym.Ppp1r1b.HY2,K329,59,,0.07
K329-218,Myo1a.Pitx2.Foxb1.HY2,K329,65,,0.08
K329-263,Dmrta2.Ebf1.Sim1.Nrn1.HY2,K329,54,,0.06
K329-254,Foxp2.Crh.Lhx8.Arx.HY1,K329,63,,0.07
K329-268,Rasd1.Skp1a.Gad2.Arx.HY1,K329,53,,0.06
K329-197,Dach1.Lef1.HY14.HY10.HY2,K329,197,,0.23
K329-246,Prlh.Lef1.HY14.HY10.HY2,K329,111,,0.13
K329-56,Spon1.Lef1.HY14.HY10.HY2,K329,472,,0.55
K329-270,Th.Adora2a.Crym.Ppp1r1b.HY2,K329,50,,0.06
K329-276,Meis2.Gsx1.Hmx3.Hmx2.HY1,K329,38,,0.04
K329-275,Gnrh1,K329,43,,0.05
K329-273,Pdgfra.Slc7a10.Sepp1.Pitx2.Foxb1.HY2,K329,51,,0.06
K329-271,Pax6.Slc30a3.Meis2.Gad2.Arx.HY1,K329,44,,0.05
K329-281,Gm5741.HY2,K329,25,,0.03
K329-5,Ttr.Pomc.Tcf7l2.Tbx3.HY1,K329,727,,0.85
K329-32,C1ql3.Cck.Prokr2.Six6.HY1,K329,613,,0.72
K329-45,Vipr2.Cck.Prokr2.Six6.HY1,K329,413,,0.48
K329-14,Prok2.Vip.Six6.HY1,K329,684,,0.8
K329-9,Crabp1.Nfib.Six3.Hmx2.HY1,K329,711,,0.83
K329-20,Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2,K329,679,,0.8
K329-12,Trh.Nkx2-4.Gsx1.Hmx2.HY1,K329,673,,0.79
K329-17,Gm30382.Il1rapl2.Epha6.Fezf1.HY2,K329,668,,0.78
K329-159,Arl4Meis2.Adora2a.Crym.Ppp1r1b.HY2,K329,245,,0.29
K329-6,Penk.Meis2.Adora2a.Crym.Ppp1r1b.HY2,K329,720,,0.85
K329-235,Th.Ebf3.Oxt,K329,141,,0.17
K329-272,Pou3f2.Ebf3.Oxt,K329,44,,0.05
K329-39,Avp.Ebf3.Oxt,K329,519,,0.61
K329-19,Nfix.Fam159b.Satb2.HY1,K329,672,,0.79
K329-11,Sox6.Npy.Otp.HY1,K329,661,,0.78
K329-73,Tcf7l2.Prkd1.Nr5a1.Cd40.Fezf1.HY2,K329,378,,0.44
K329-93,Ror1.Prkd1.Nr5a1.Cd40.Fezf1.HY2,K329,328,,0.39
K329-112,Egflam.Kirrel3.C1ql2.Epha6.Fezf1.HY2,K329,315,,0.37
K329-126,Fam19a1.Kirrel3.C1ql2.Epha6.Fezf1.HY2,K329,264,,0.31
K329-238,Gm37401.Kirrel3.C1ql2.Epha6.Fezf1.HY2,K329,102,,0.12
K329-15,Sox14.Lef1.Hmx2.HY1,K329,657,,0.77
K329-16,Acvr1c.Gm8773.Agrp.Npy.Otp.HY1,K329,657,,0.77
K329-206,Vgll2.Bace2.Tcf7l2.Tbx3.HY1,K329,189,,0.22
K329-54,Gpc3.Bace2.Tcf7l2.Tbx3.HY1,K329,461,,0.54
K329-21,Tmem215.St18.Arx.HY1,K329,643,,0.75
K329-22,Grp.Cck.Ppp1r17.Hmx2.HY1,K329,612,,0.72
K329-31,Grp.Vip.Cd24a.Six6.HY1,K329,568,,0.67
K329-68,Npas4.Vip.Cd24a.Six6.HY1,K329,397,,0.47
K329-186,Npnt.Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2,K329,206,,0.24
K329-53,Cdkn1c.Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2,K329,450,,0.53
K329-156,Tac2.Cpne9.Sall3.Pitx2.Foxb1.HY2,K329,235,,0.28
K329-87,Pvalb.Cpne9.Sall3.Pitx2.Foxb1.HY2,K329,333,,0.39
K329-28,Pthlh.Bcl11b.Il1rapl2.Otp.HY1,K329,597,,0.7
K329-115,Nr4a2.Arhgap36.Gpc4.Calca.Gad2.Arx.HY1,K329,300,,0.35
K329-90,Serpinb1b.Arhgap36.Gpc4.Calca.Gad2.Arx.HY1,K329,323,,0.38
K329-33,Pmfbp1.Sncg.Gad2.Arx.HY1,K329,583,,0.68
K329-193,Cck.Th.Prok2.Hmx3.Hmx2.HY1,K329,199,,0.23
K329-77,Gal.Th.Prok2.Hmx3.Hmx2.HY1,K329,395,,0.46
K329-88,Brs3.Th.Prok2.Hmx3.Hmx2.HY1,K329,145,,0.17
K329-198,Drd2.Postn.Ctxn3.Pitx2.Foxb1.HY2,K329,194,,0.23
K329-67,Nxph4.Postn.Ctxn3.Pitx2.Foxb1.HY2,K329,368,,0.43
K329-190,Tnnt2.Cplx1.Gad2.Arx.HY1,K329,193,,0.23
K329-65,C1ql2.Cplx1.Gad2.Arx.HY1,K329,443,,0.52
K329-145,Mab21l1.Samd3.Meis2.Tbr1.Nrn1.HY2,K329,227,,0.27
K329-83,Fst.Samd3.Meis2.Tbr1.Nrn1.HY2,K329,366,,0.43
K329-38,Trh.Otp.Ebf1.Sim1.Nrn1.HY2,K329,580,,0.68
K329-219,Rasd1.Vipr2.Prokr2.Six6.HY1,K329,127,,0.15
K329-8,Prr5l.Vipr2.Prokr2.Six6.HY1,K329,887,,1.04
K329-42,Penk.Arx.Six6.HY1,K329,537,,0.63
K329-30,Sst.Agrp.Npy.Otp.HY1,K329,563,,0.66
K329-35,Nr5a2.Satb2.HY1,K329,533,,0.63
K329-155,Chodl.Nts.Prok2.Hmx3.Hmx2.HY1,K329,335,,0.39
K329-269,Vip.Nts.Prok2.Hmx3.Hmx2.HY1,K329,84,,0.1
K329-100,Ppp1r17.Grin2c.Nms.Six6.HY1,K329,525,,0.62
K329-36,Gm28928.Pthlh.Six3.Hmx2.HY1,K329,531,,0.62
K329-37,Slc6a3.Fam159b.Satb2.HY1,K329,524,,0.62
K329-44,BC048546.Alk.Epha6.Fezf1.HY2,K329,511,,0.6
K329-49,Crh.Prok2.Tac1.Crym.Ppp1r1b.HY2,K329,486,,0.57
K329-134,Tac1.Tcf7l2.Tmem114.Lef1.Hmx2.HY1,K329,290,,0.34
K329-183,Pou3f1.Tcf7l2.Tmem114.Lef1.Hmx2.HY1,K329,215,,0.25
K329-148,Col19a1.Ttn.Sall3.Pitx2.Foxb1.HY2,K329,363,,0.43
K329-18,Cck.Ttn.Sall3.Pitx2.Foxb1.HY2,K329,568,,0.67
K329-46,Pmaip1.Gal.Zic1.Hmx3.Hmx2.HY1,K329,487,,0.57
K329-50,Serpina3n.Agrp.Npy.Otp.HY1,K329,473,,0.56
K329-55,Pomc.Tmem215.Tcf7l2.Tbx3.HY1,K329,468,,0.55
K329-43,Serpina3n.Gm8773.Agrp.Npy.Otp.HY1,K329,491,,0.58
K329-62,Vwa5a.Gm8773.Agrp.Npy.Otp.HY1,K329,439,,0.52
K329-51,Esr1.Cd40.Fezf1.HY2,K329,473,,0.56
K329-63,Pmaip1.Calca.Gad2.Arx.HY1,K329,480,,0.56
K329-52,Gm37401.SgcAlk.Epha6.Fezf1.HY2,K329,433,,0.51
K329-41,Nfix.Nms.Six6.HY1,K329,507,,0.6
K329-57,Crh.Gsx1.Hmx3.Hmx2.HY1,K329,474,,0.56
K329-109,Cyr61.Meis2.Ppp1r1b.HY2,K329,319,,0.37
K329-26,Shisa8.Meis2.Ppp1r1b.HY2,K329,588,,0.69
K329-58,Dkk2.Ebf3.Foxb1.HY2,K329,456,,0.54
K329-131,Ebf1.Cbln2.Trh.Sim1.Nrn1.HY2,K329,290,,0.34
K329-216,Mfng.Cbln2.Trh.Sim1.Nrn1.HY2,K329,168,,0.2
K329-60,Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2,K329,485,,0.57
K329-64,Scn4b.Drd1.Tac1.Crym.Ppp1r1b.HY2,K329,399,,0.47
K329-122,Cbln2.Pou6f2.Crhbp.Gad2.Arx.HY1,K329,290,,0.34
K329-240,Nts.Pou6f2.Crhbp.Gad2.Arx.HY1,K329,177,,0.21
K329-135,Dio3.Meis2.Drd1.Tac1.Crym.Ppp1r1b.HY2,K329,324,,0.38
K329-160,Col6a1.Meis2.Drd1.Tac1.Crym.Ppp1r1b.HY2,K329,193,,0.23
K329-47,Zic1.Crhbp.Gad2.Arx.HY1,K329,451,,0.53
K329-264,Tac1.Tacr3.Adarb2.Onecut2.Gad2.Arx.HY1,K329,63,,0.07
K329-79,Penk.Tacr3.Adarb2.Onecut2.Gad2.Arx.HY1,K329,386,,0.45
K329-66,Vcan.Bcl11b.Il1rapl2.Otp.HY1,K329,438,,0.51
K329-146,Npffr2.Bdnf.C1ql2.Epha6.Fezf1.HY2,K329,293,,0.34
K329-179,Gpr149.Bdnf.C1ql2.Epha6.Fezf1.HY2,K329,214,,0.25
K329-34,Gm20754.Col6a1.Nfib.Six3.Hmx2.HY1,K329,571,,0.67
K329-84,Ltbp1.Col6a1.Nfib.Six3.Hmx2.HY1,K329,333,,0.39
K329-117,Tpbg.Lhx1.Cd24a.Six6.HY1,K329,334,,0.39
K329-139,Nms.Lhx1.Cd24a.Six6.HY1,K329,92,,0.11
K329-113,Nxph4.Ebf3.Pou3f3.Sim1.Nrn1.HY2,K329,321,,0.38
K329-241,Calca.Ebf3.Pou3f3.Sim1.Nrn1.HY2,K329,119,,0.14
K329-124,Fign.Pvalb.Meis2.Gad2.Arx.HY1,K329,305,,0.36
K329-207,Slc30a3.Pvalb.Meis2.Gad2.Arx.HY1,K329,127,,0.15
K329-279,Pax6.Pvalb.Meis2.Gad2.Arx.HY1,K329,25,,0.03
K329-69,Gal.Crh.Hmx3.Hmx2.HY1,K329,431,,0.51
K329-70,Qrfpr.Cd40.Fezf1.HY2,K329,425,,0.5
K329-71,Smim3.Gldn.Cd40.Fezf1.HY2,K329,410,,0.48
K329-257,Scgn.Nr4a2.Fbxw13.Sp9.Gad2.Arx.HY1,K329,80,,0.09
K329-96,Sp8.Nr4a2.Fbxw13.Sp9.Gad2.Arx.HY1,K329,344,,0.4
K329-99,Nts.Hmx3.Hmx2.HY1,K329,418,,0.49
K329-111,Gm27032.Mobp.Sepp1.Pitx2.Foxb1.HY2,K329,386,,0.45
K329-151,Nptx2.Megf11.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K329,240,,0.28
K329-168,Cmbl.Megf11.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K329,226,,0.27
K329-10,Avp.Grin2c.Nms.Six6.HY1,K329,884,,1.04
K329-150,Tac1.Gpc5.Fgf10.Gpr149.Cd40.Fezf1.HY2,K329,263,,0.31
K329-250,Fam19a1.Gpc5.Fgf10.Gpr149.Cd40.Fezf1.HY2,K329,91,,0.11
K329-76,Emx2.Ebf3.Foxb1.HY2,K329,385,,0.45
K329-80,Gja1.Slc7a10.Sepp1.Pitx2.Foxb1.HY2,K329,352,,0.41
K329-82,Pax6.Nfix.St18.Arx.HY1,K329,428,,0.5
K329-78,Il1rapl2.Pthlh.Six3.Hmx2.HY1,K329,378,,0.44
K329-94,Pou3f1.Sema3a.Crh.Lhx8.Arx.HY1,K329,361,,0.42
K329-164,Htr3a.Nfib.Nfix.Gad2.Arx.HY1,K329,360,,0.42
K329-91,Slc17a8.Meis2.Crym.Ppp1r1b.HY2,K329,381,,0.45
K329-85,Prkd1.Gpr149.Nr5a1.Cd40.Fezf1.HY2,K329,338,,0.4
K329-104,Fam81a.Prox1.Lhx8.Arx.HY1,K329,328,,0.39
