gene,ensembl_gene_id,log2FoldChange,padj
Polr3d,ENSMUSG00000000776,0.468960945114288,1.64755965074909e-05
Tcf7,ENSMUSG00000000782,-1.21179666138535,0.00210622176049189
Ddx3x,ENSMUSG00000000787,0.194693206221881,0.20825319260862
Il12rb1,ENSMUSG00000000791,-1.71770258565638,0.031369700605149
Slc5a5,ENSMUSG00000000792,0.97874473568622,1.36258688267789e-13
Kcnn3,ENSMUSG00000000794,-0.262970749030784,0.0393340835186702
Usp32,ENSMUSG00000000804,0.0986539826752647,0.351087508562756
Car4,ENSMUSG00000000805,0.852730985032886,0.299300816624963
Txnrd3,ENSMUSG00000000811,0.55742563426392,0.000294878597439224
Fasl,ENSMUSG00000000817,-0.925367616607698,0.572802334347309
Zfp512b,ENSMUSG00000000823,0.0279982477889165,0.880217787915554
Dnajc5,ENSMUSG00000000826,0.365799922017997,1.76373272815595e-06
Tpd52l2,ENSMUSG00000000827,0.294059079322983,0.00165839014112982
Fmr1,ENSMUSG00000000838,-0.312230304700447,0.00595530438999256
Bcl11a,ENSMUSG00000000861,0.00643613510521787,0.966162048149082
Il4,ENSMUSG00000000869,0.150754554937316,0.874301443937329
Pxmp4,ENSMUSG00000000876,-0.45639294149711,0.00321346187952518
Dlg3,ENSMUSG00000000881,0.53971939724312,7.78404490177709e-06
Gnb1l,ENSMUSG00000000884,0.401269569010445,0.136222237561517
Dbh,ENSMUSG00000000889,-0.556033660656333,0.597792523511538
Mmp11,ENSMUSG00000000901,0.34759946128015,0.238877159681953
Smarcb1,ENSMUSG00000000902,0.228028955036279,0.0964007977097147
Vpreb3,ENSMUSG00000000903,-0.317366864380915,0.914070659817674
Hip1r,ENSMUSG00000000915,-0.258837779646824,0.0401180542764903
Nsun5,ENSMUSG00000000916,-0.545451487369701,0.000886819502617126
Top1mt,ENSMUSG00000000934,0.357187320206544,0.00937293056929375
Hoxa10,ENSMUSG00000000938,,
Hoxa4,ENSMUSG00000000942,-2.12497954901553,
Gm38393,ENSMUSG00000000948,-1.83698059678962,2.39930664606989e-54
Mmp14,ENSMUSG00000000957,-2.59670253677685,4.26677298424685e-24
