cluster_id,cluster_name,gene,specificity,p_val_adj,avg_log2FC,pct.1,pct.2
K169-54,Sncg.Gad2.Arx.HY1,D930028M14Rik,8.06120708730628,2.76800757034144e-131,0.548381434510631,0.294,0.02
K169-54,Sncg.Gad2.Arx.HY1,Erfl,13.4086916598846,9.21123746310044e-103,0.268173833197693,0.15,0.003
K169-54,Sncg.Gad2.Arx.HY1,Arx,4.908774404932,2.99060429792062e-91,0.38584252964531,0.229,0.018
K169-54,Sncg.Gad2.Arx.HY1,Egfem1,1.86026059720401,1.90866751024673e-82,1.26143777221909,0.904,0.613
K169-54,Sncg.Gad2.Arx.HY1,Slc32a1,3.23167672421591,5.99844165123794e-82,1.01306480382944,0.638,0.2
K169-54,Sncg.Gad2.Arx.HY1,Onecut3,4.01893214850598,3.67789153070662e-80,0.376774888922436,0.224,0.021
K169-54,Sncg.Gad2.Arx.HY1,Etv1,5.60889212979355,1.68894849343751e-79,0.96897804235636,0.301,0.052
K169-54,Sncg.Gad2.Arx.HY1,Gad2,2.32833434504475,1.64979081498391e-77,0.941179928034258,0.804,0.325
K169-54,Sncg.Gad2.Arx.HY1,Scn7a,3.92518867462255,3.38465838991403e-74,0.76724651147013,0.353,0.069
K169-54,Sncg.Gad2.Arx.HY1,Slc18a2,2.38902181423842,9.99286123762377e-73,0.517408467789604,0.374,0.081
K169-54,Sncg.Gad2.Arx.HY1,Htr2c,2.12983362782168,4.38497751371234e-68,1.15997407155618,0.773,0.421
K169-54,Sncg.Gad2.Arx.HY1,Lhx1,2.41906847172886,5.13033968328382e-68,0.647871469750277,0.463,0.124
K169-54,Sncg.Gad2.Arx.HY1,Nostrin,7.41551502912115,7.26374619685305e-65,0.491389550122486,0.166,0.011
K169-54,Sncg.Gad2.Arx.HY1,Ddc,2.12228528015492,1.14698160914761e-62,0.702017884257746,0.523,0.173
K169-54,Sncg.Gad2.Arx.HY1,Grik3,1.87142915993136,2.84408978320916e-62,0.76623203047418,0.657,0.269
K169-54,Sncg.Gad2.Arx.HY1,Kcns3,3.0210897717121,2.54744050591961e-59,0.35703788211143,0.22,0.026
K169-54,Sncg.Gad2.Arx.HY1,Onecut2,2.27513186642959,1.174188309283e-58,0.573124821314323,0.393,0.099
K169-54,Sncg.Gad2.Arx.HY1,Lhx1os,2.04494372049667,1.77570175941082e-57,0.455764582867293,0.341,0.076
K169-54,Sncg.Gad2.Arx.HY1,Trpc7,1.55078635778744,1.25408409571665e-48,0.612970199708332,0.549,0.217
K169-54,Sncg.Gad2.Arx.HY1,Zfpm2,1.93648981871194,2.05480993516473e-48,1.01874948734026,0.671,0.353
K169-54,Sncg.Gad2.Arx.HY1,Chrm2,1.90759702843673,3.96703876124353e-47,0.793193266119738,0.582,0.242
K169-54,Sncg.Gad2.Arx.HY1,Sh3rf3,1.44622715868531,4.91948531758438e-45,0.718387346797933,0.612,0.304
K169-54,Sncg.Gad2.Arx.HY1,Inpp4b,1.08322170919936,2.32816209967887e-43,0.795036703718081,0.857,0.629
K169-54,Sncg.Gad2.Arx.HY1,1700042O10Rik,1.70216890220097,2.98817755577804e-42,0.628493133120358,0.39,0.144
K169-54,Sncg.Gad2.Arx.HY1,Gad1,1.52314488323862,7.97955599490109e-42,0.615571507215608,0.579,0.234
K169-54,Sncg.Gad2.Arx.HY1,Met,2.83155415703658,6.27525235985323e-41,0.257414014276053,0.121,0.011
K169-54,Sncg.Gad2.Arx.HY1,Tmtc2,1.35781441862621,1.89099724510656e-38,0.877723490582933,0.741,0.479
K169-54,Sncg.Gad2.Arx.HY1,Alcam,1.15514199855305,2.62680191968014e-38,0.763775014283609,0.853,0.564
K169-54,Sncg.Gad2.Arx.HY1,Thsd7b,1.37050364034973,1.11649858504069e-37,0.854362809215451,0.778,0.485
K169-54,Sncg.Gad2.Arx.HY1,Shisal2b,3.11067160196957,5.23905668020213e-35,0.511143220980915,0.213,0.035
K169-54,Sncg.Gad2.Arx.HY1,Sncg,1.87138389860972,1.40919070228664e-34,0.36693801933524,0.255,0.05
K169-54,Sncg.Gad2.Arx.HY1,Six6,1.75430206944707,7.58934412338304e-34,0.396132725359015,0.217,0.049
K169-54,Sncg.Gad2.Arx.HY1,Rgs10,1.87745306441588,6.065852957351e-33,0.589273589561188,0.411,0.129
K169-54,Sncg.Gad2.Arx.HY1,Zmat4,1.19703881137009,7.37191380004527e-32,0.795842492921837,0.731,0.486
K169-54,Sncg.Gad2.Arx.HY1,Ptn,1.76203517010383,8.17896120692563e-32,0.918981195700512,0.673,0.351
K169-54,Sncg.Gad2.Arx.HY1,9430053O09Rik,1.0206697453753,4.08241689327279e-26,0.292352640635135,0.199,0.057
K169-54,Sncg.Gad2.Arx.HY1,Col11a1,1.58072883693577,2.65532068690211e-22,0.806560410649603,0.488,0.249
K169-54,Sncg.Gad2.Arx.HY1,Htr1f,1.10636085222933,2.75603961096518e-21,0.597596372737012,0.411,0.222
K169-54,Sncg.Gad2.Arx.HY1,Pou6f2,1.15407269562272,0.000000000000102386191419906,0.505630512129019,0.299,0.131
K169-54,Sncg.Gad2.Arx.HY1,Aldoc,1.02598514873506,0.0000000060979122603199,0.522631265743957,0.479,0.244
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm45699,30.4973740504331,9.05869001898336e-233,0.274751117571469,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Fbxw13,130.522286311888,1.16074928799224e-77,0.587938226630124,0.222,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm11399,Inf,8.08040014993623e-56,0.275965582251312,0.111,0
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm1979,30.4224862359961,7.5326603442975e-48,0.274076452576541,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm10247,30.5713587309395,4.00325180256266e-45,0.27541764622468,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm12023,Inf,4.52890683159062e-38,0.276799817654637,0.111,0
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm29051,64.8589373953747,1.81763513627536e-32,0.584314751309682,0.222,0.002
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm4208,30.5829954039208,7.76176123657551e-32,0.275522481116404,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Xlr5b,30.4451710262975,4.69928677881467e-31,0.274280820056734,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,ENSMUSG00000089158,Inf,1.26284020396995e-23,0.276963039957912,0.111,0
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Tac4,30.5028053917264,1.66833249220923e-22,0.274800048574112,0.111,0.001
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Cfap97d1,35.9469277296283,6.73326748787771e-20,0.323846195762417,0.222,0.002
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,1700041I07Rik,15.0837934308923,0.000000000000113645563878769,0.271780061817879,0.111,0.002
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,A230103O09Rik,22.7225947252099,0.00000000000151293906944387,0.409416121174953,0.222,0.004
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm15734,18.7285994523797,0.0000000000443568495482374,0.421815302981525,0.222,0.005
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Insm2,14.1231115339397,0.00000000118922500670375,0.318088097611255,0.222,0.005
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Greb1,6.21054558236908,0.00000000523046955816203,0.547332254561304,0.556,0.049
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Gm34299,7.67736574427544,0.000000439687197577714,0.345827285778173,0.222,0.01
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,Cideb,15.0764869973245,0.00000460692673210016,0.271648414366208,0.111,0.002
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,C330002G04Rik,6.28440175288833,0.000058500830580962,0.424621740060022,0.222,0.015
