gene,ensembl_gene_id,log2FoldChange,padj
Slc13a2,ENSMUSG00000001095,-1.36326678985827,
Kctd10,ENSMUSG00000001098,0.946628674000969,2.98702185706906e-10
Poldip2,ENSMUSG00000001100,0.545921605984481,0.0852925566201802
Sebox,ENSMUSG00000001103,-3.21646411243264,
Ift20,ENSMUSG00000001105,0.892578232497208,5.95007324871612e-30
Col6a1,ENSMUSG00000001119,-0.00711301503933921,0.99779977521642
Pcbp3,ENSMUSG00000001120,0.910147712628394,1.49279801394891e-08
Lgals9,ENSMUSG00000001123,-2.9996946867799,4.57753759186377e-06
Araf,ENSMUSG00000001127,1.40151496441466,1.08804407363553e-11
Cfp,ENSMUSG00000001128,-2.18625797241885,0.1145551524573
Timp1,ENSMUSG00000001131,1.99196927088243,0.34448172810026
Uxt,ENSMUSG00000001134,0.11484302304118,0.815530073602939
Cnnm3,ENSMUSG00000001138,0.345409975336996,0.102965532373159
Lman2l,ENSMUSG00000001143,0.506782750826817,3.91387969940778e-06
Mcm3ap,ENSMUSG00000001150,0.113250502730344,0.629272057342622
Pcnt,ENSMUSG00000001151,-0.422709333686454,0.00510920892389882
Ftcd,ENSMUSG00000001155,1.8271154188453,0.513013774698052
Mxd1,ENSMUSG00000001156,-0.217659979383713,0.432566054921606
Gmcl1,ENSMUSG00000001157,0.3037077267102,0.302916641691463
Snrnp27,ENSMUSG00000001158,0.627152729341759,4.46132883490345e-07
Oas1c,ENSMUSG00000001166,1.30458135753945,0.000112993063048401
Oas1h,ENSMUSG00000001168,-1.36326678985827,
Ocrl,ENSMUSG00000001173,0.23437693206451,0.0422482758498596
Calm1,ENSMUSG00000001175,0.0897512042510753,0.323575339157985
Agpat3,ENSMUSG00000001211,-0.393105475692704,0.105390375989696
Slc26a3,ENSMUSG00000001225,-1.43075793159512,0.664029388449308
Sema6b,ENSMUSG00000001227,0.152680318772112,0.520149799988929
Uhrf1,ENSMUSG00000001228,0.244283223788181,0.929057519389252
Dpp9,ENSMUSG00000001229,-0.304788033664915,0.158798874071247
Ramp2,ENSMUSG00000001240,-2.41246226621098,0.101414360677547
Lsr,ENSMUSG00000001247,-0.498814921331788,0.786357480850622
Gramd1a,ENSMUSG00000001248,-0.503567148640703,0.216187612043738
Hpn,ENSMUSG00000001249,-5.07372775351536,0.103657200465233
Gabrg1,ENSMUSG00000001260,0.549162944420903,8.76059680316037e-08
Ckb,ENSMUSG00000001270,-0.854536698687118,9.82859094977807e-13
Sp1,ENSMUSG00000001280,-1.39145186225394,1.06073087447037e-26
Itgb7,ENSMUSG00000001281,-0.614414600480478,0.789222361532754
Myg1,ENSMUSG00000001285,0.531757490411788,0.00708359175156821
Rarg,ENSMUSG00000001288,-0.19511755452051,0.781319146349669
Pfdn5,ENSMUSG00000001289,1.58114199521835,2.02699634939232e-54
Efnb2,ENSMUSG00000001300,0.225849865641432,0.267942328558372
Rrp15,ENSMUSG00000001305,0.452979656293415,0.407817301326724
Rnd2,ENSMUSG00000001313,-0.771700489281596,4.26869134225444e-08
Srr,ENSMUSG00000001323,-0.185664839721413,0.216374421660532
Sync,ENSMUSG00000001333,0.554361734732646,0.622178460855872
Fndc5,ENSMUSG00000001334,-0.870723916821602,7.94413595986123e-07
Acp5,ENSMUSG00000001348,-2.09703700975519,0.616226090023004
Cnn1,ENSMUSG00000001349,1.22449098670257,0.514559587936349
Fbxo9,ENSMUSG00000001366,0.21354277126991,0.10945217328328
Vps50,ENSMUSG00000001376,-0.678966756041384,0.000177162651159092
Hars,ENSMUSG00000001380,0.183907351901527,0.0859493646296189
Zmat2,ENSMUSG00000001383,0.741980165141914,1.19478757454818e-17
Ube2c,ENSMUSG00000001403,-3.12845187488483,0.0243499539418367
Smg5,ENSMUSG00000001415,0.306406945791918,0.0154000502900398
Cct3,ENSMUSG00000001416,0.271824726750951,0.086756422293889
Glmp,ENSMUSG00000001418,-0.0735428967355476,0.922314494866617
Mef2d,ENSMUSG00000001419,0.505562101207807,4.83031918667558e-05
Tmem79,ENSMUSG00000001420,0.130114270197884,0.957627146145684
Snd1,ENSMUSG00000001424,1.11727706885402,2.37123785389824e-20
Col18a1,ENSMUSG00000001435,-1.50555435864631,0.291748580704395
Slc19a1,ENSMUSG00000001436,0.565807844818314,0.336662530511983
