from,to,nchildren,height
K98-46,K169-70,1,3
K98-46,K169-105,1,3
K98-35,K169-18,2,3
K98-35,K169-149,1,3
K98-8,K169-35,1,3
K98-8,K169-21,2,3
K98-9,K169-28,3,3
K98-12,K169-82,1,3
K98-12,K169-32,1,3
K98-59,K169-52,2,3
K98-40,K169-12,1,3
K98-4,K169-1,3,3
K98-4,K169-68,1,3
K98-4,K169-75,1,3
K98-60,K169-50,1,3
K98-85,K169-130,1,3
K98-15,K169-72,2,3
K98-15,K169-24,1,3
K98-33,K169-89,1,3
K98-33,K169-58,2,3
K98-57,K169-136,1,3
K98-57,K169-30,1,3
K98-1,K169-76,1,3
K98-1,K169-9,1,3
K98-1,K169-5,2,3
K98-1,K169-113,1,3
K98-2,K169-96,1,3
K98-2,K169-36,1,3
K98-2,K169-4,3,3
K98-28,K169-13,2,3
K98-11,K169-81,2,3
K98-11,K169-10,1,3
K98-68,K169-67,1,3
K98-19,K169-45,1,3
K98-19,K169-69,1,3
K98-37,K169-29,3,3
K98-38,K169-15,2,3
K98-38,K169-164,1,3
K98-20,K169-95,2,3
K98-20,K169-106,2,3
K98-20,K169-88,1,3
K98-63,K169-83,2,3
K98-63,K169-133,1,3
K98-94,K169-159,1,3
K98-49,K169-25,3,3
K98-49,K169-137,1,3
K98-65,K169-157,1,3
K98-65,K169-102,2,3
K98-70,K169-110,1,3
K98-70,K169-151,1,3
K98-39,K169-61,1,3
K98-39,K169-93,2,3
K98-82,K169-127,2,3
K98-90,K169-145,1,3
K98-80,K169-121,1,3
K98-86,K169-167,1,3
K98-86,K169-141,1,3
K98-74,K169-132,1,3
K98-74,K169-154,1,3
K98-88,K169-142,1,3
K98-27,K169-108,1,3
K98-27,K169-112,1,3
K98-27,K169-80,2,3
K98-50,K169-31,1,3
K98-87,K169-138,1,3
K98-81,K169-123,1,3
K98-76,K169-139,1,3
K98-76,K169-150,1,3
K98-3,K169-2,3,3
K98-3,K169-57,1,3
K98-3,K169-104,2,3
K98-32,K169-26,3,3
K98-32,K169-120,1,3
K98-32,K169-175,1,3
K98-73,K169-91,1,3
K98-6,K169-27,1,3
K98-6,K169-8,2,3
K98-52,K169-109,2,3
K98-52,K169-100,1,3
K98-71,K169-79,1,3
K98-5,K169-143,1,3
K98-5,K169-3,4,3
K98-5,K169-62,1,3
K98-5,K169-171,1,3
K98-18,K169-66,1,3
K98-18,K169-47,1,3
K98-53,K169-160,1,3
K98-53,K169-43,1,3
K98-17,K169-64,1,3
K98-17,K169-34,1,3
K98-16,K169-42,1,3
K98-16,K169-53,1,3
K98-7,K169-111,2,3
K98-7,K169-19,2,3
K98-7,K169-46,2,3
K98-34,K169-11,1,3
K98-34,K169-165,1,3
K98-56,K169-101,1,3
K98-56,K169-135,1,3
K98-97,K169-163,1,3
K98-44,K169-16,2,3
K98-30,K169-86,3,3
K98-30,K169-51,3,3
K98-13,K169-23,3,3
K98-13,K169-65,1,3
K98-10,K169-7,1,3
K98-10,K169-90,1,3
K98-96,K169-161,1,3
K98-48,K169-22,2,3
K98-99,K169-170,1,3
K98-47,K169-40,1,3
K98-47,K169-144,1,3
K98-98,K169-166,1,3
K169-153,K240-213,1,2
K169-153,K240-210,1,2
K169-54,K240-44,1,2
K169-54,K240-209,1,2
K169-97,K240-86,2,2
K169-97,K240-195,1,2
K169-148,K240-173,1,2
K169-156,K240-178,1,2
K169-33,K240-77,3,2
K169-33,K240-118,1,2
K169-87,K240-113,1,2
K169-87,K240-200,1,2
K169-20,K240-76,1,2
K169-20,K240-74,2,2
K169-49,K240-108,1,2
K169-49,K240-96,1,2
K169-49,K240-185,1,2
K169-126,K240-134,1,2
K169-74,K240-66,1,2
K169-41,K240-43,2,2
K169-41,K240-205,1,2
K169-146,K240-172,1,2
K169-55,K240-47,2,2
K169-71,K240-164,1,2
K169-71,K240-132,1,2
K169-71,K240-226,1,2
K169-84,K240-82,3,2
K169-117,K240-129,1,2
K169-117,K240-219,1,2
K169-117,K240-233,1,2
K169-129,K240-156,1,2
K169-77,K240-169,1,2
K169-85,K240-93,1,2
K169-103,K240-150,1,2
K169-103,K240-184,1,2
K169-56,K240-38,1,2
K169-124,K240-147,3,2
K169-118,K240-149,2,2
K169-63,K240-105,1,2
K169-63,K240-142,1,2
K169-59,K240-106,1,2
K169-59,K240-138,1,2
K169-155,K240-197,1,2
K169-152,K240-193,1,2
K169-115,K240-104,1,2
K169-122,K240-122,1,2
K169-131,K240-151,1,2
K169-78,K240-95,1,2
K169-78,K240-190,1,2
K169-98,K240-114,2,2
K169-162,K240-218,1,2
K169-114,K240-99,2,2
K169-158,K240-208,1,2
K169-107,K240-174,1,2
K169-107,K240-180,1,2
K169-48,K240-35,1,2
K169-73,K240-59,3,2
K169-119,K240-119,3,2
K169-60,K240-83,1,2
K169-60,K240-179,1,2
K169-94,K240-53,2,2
K169-38,K240-45,3,2
K169-125,K240-137,1,2
K169-92,K240-135,2,2
K169-92,K240-186,1,2
K169-134,K240-153,1,2
K169-37,K240-69,1,2
K169-37,K240-143,1,2
K169-37,K240-223,1,2
K169-14,K240-60,1,2
K169-14,K240-127,1,2
K169-14,K240-182,1,2
K169-140,K240-158,2,2
K169-99,K240-87,1,2
K169-6,K240-1,2,2
K169-44,K240-28,1,2
K169-128,K240-133,1,2
K169-39,K240-26,1,2
K169-17,K240-8,2,2
K169-116,K240-121,1,2
K169-70,K240-55,2,2
K169-105,K240-94,1,2
K169-18,K240-141,1,2
K169-18,K240-39,1,2
K169-149,K240-175,1,2
K169-35,K240-23,1,2
K169-21,K240-11,2,2
K169-21,K240-206,2,2
K169-28,K240-13,1,2
K169-28,K240-253,1,2
K169-28,K240-254,1,2
K169-82,K240-62,1,2
K169-32,K240-19,2,2
K169-52,K240-37,3,2
K169-52,K240-258,1,2
K169-12,K240-2,2,2
K169-1,K240-63,1,2
K169-1,K240-36,1,2
K169-1,K240-64,2,2
K169-68,K240-51,1,2
K169-75,K240-61,1,2
K169-50,K240-32,1,2
K169-130,K240-139,1,2
K169-72,K240-103,1,2
K169-72,K240-181,1,2
K169-24,K240-16,3,2
K169-89,K240-78,2,2
K169-58,K240-42,1,2
K169-58,K240-250,1,2
K169-136,K240-120,2,2
K169-30,K240-50,1,2
K169-76,K240-10,1,2
K169-9,K240-24,2,2
K169-5,K240-5,2,2
K169-5,K240-241,1,2
K169-113,K240-112,1,2
K169-96,K240-68,3,2
K169-36,K240-15,1,2
K169-4,K240-54,1,2
K169-4,K240-9,2,2
K169-4,K240-194,3,2
K169-13,K240-25,1,2
K169-13,K240-109,1,2
K169-81,K240-80,2,2
K169-81,K240-232,1,2
K169-10,K240-4,2,2
K169-67,K240-52,1,2
K169-45,K240-31,1,2
K169-69,K240-56,1,2
K169-29,K240-140,1,2
K169-29,K240-116,1,2
K169-29,K240-71,2,2
K169-15,K240-125,2,2
K169-15,K240-49,1,2
K169-164,K240-217,1,2
K169-95,K240-204,1,2
K169-95,K240-130,1,2
K169-106,K240-171,1,2
K169-106,K240-183,1,2
K169-88,K240-81,2,2
K169-83,K240-131,1,2
K169-83,K240-165,1,2
K169-133,K240-155,1,2
K169-159,K240-212,1,2
K169-25,K240-107,1,2
K169-25,K240-115,2,2
K169-25,K240-192,1,2
K169-137,K240-202,3,2
K169-157,K240-207,1,2
K169-102,K240-201,1,2
K169-102,K240-126,1,2
K169-110,K240-111,1,2
K169-151,K240-188,1,2
K169-61,K240-48,2,2
K169-93,K240-170,1,2
K169-93,K240-163,1,2
K169-127,K240-145,1,2
K169-127,K240-228,1,2
K169-145,K240-168,1,2
K169-121,K240-124,2,2
K169-167,K240-222,1,2
K169-141,K240-166,1,2
K169-132,K240-148,1,2
K169-154,K240-198,1,2
K169-142,K240-162,1,2
K169-108,K240-100,2,2
K169-112,K240-110,1,2
K169-80,K240-152,1,2
K169-80,K240-161,1,2
K169-31,K240-22,3,2
K169-138,K240-157,1,2
K169-123,K240-128,1,2
