cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,pct.1,pct.2,pct_diff
K169-29,Trh.Sim1.Nrn1.HY2,Rpl11,1.33042008796402,0.000000000643483686464601,0.708,0.243,0.465
K98-37,Trh.Sim1.Nrn1.HY2,Rabac1,1.52212264278754,0.000000000654412812396321,0.725,0.314,0.411
K169-29,Trh.Sim1.Nrn1.HY2,Rabac1,1.52212264278754,0.000000000654412812396321,0.725,0.314,0.411
K98-37,Trh.Sim1.Nrn1.HY2,Aldoa,1.63007157920586,0.00000000100643413586704,0.704,0.329,0.375
K169-29,Trh.Sim1.Nrn1.HY2,Aldoa,1.63007157920586,0.00000000100643413586704,0.704,0.329,0.375
K98-37,Trh.Sim1.Nrn1.HY2,Hsp90b1,1.32037979788496,0.00000000104828056131704,0.783,0.343,0.44
K169-29,Trh.Sim1.Nrn1.HY2,Hsp90b1,1.32037979788496,0.00000000104828056131704,0.783,0.343,0.44
K98-37,Trh.Sim1.Nrn1.HY2,Rpl26,1.30385105415662,0.00000000105085863764981,0.604,0.057,0.547
K169-29,Trh.Sim1.Nrn1.HY2,Rpl26,1.30385105415662,0.00000000105085863764981,0.604,0.057,0.547
K98-37,Trh.Sim1.Nrn1.HY2,Rps4x,1.3120082504297,0.00000000108684275440921,0.613,0.086,0.527
K169-29,Trh.Sim1.Nrn1.HY2,Rps4x,1.3120082504297,0.00000000108684275440921,0.613,0.086,0.527
K98-37,Trh.Sim1.Nrn1.HY2,Ppia,1.8721350182844,0.00000000116685434939411,0.725,0.343,0.382
K169-29,Trh.Sim1.Nrn1.HY2,Ppia,1.8721350182844,0.00000000116685434939411,0.725,0.343,0.382
K98-37,Trh.Sim1.Nrn1.HY2,Nenf,1.53524109764459,0.00000000172573259116247,0.7,0.243,0.457
K169-29,Trh.Sim1.Nrn1.HY2,Nenf,1.53524109764459,0.00000000172573259116247,0.7,0.243,0.457
K98-37,Trh.Sim1.Nrn1.HY2,Chgb,1.27191880659443,0.00000000207338563604942,0.696,0.2,0.496
K169-29,Trh.Sim1.Nrn1.HY2,Chgb,1.27191880659443,0.00000000207338563604942,0.696,0.2,0.496
K98-37,Trh.Sim1.Nrn1.HY2,Cox8a,1.34427980051044,0.00000000226089343458694,0.762,0.4,0.362
K169-29,Trh.Sim1.Nrn1.HY2,Cox8a,1.34427980051044,0.00000000226089343458694,0.762,0.4,0.362
K98-37,Trh.Sim1.Nrn1.HY2,Nap1l5,1.23174873246243,0.00000000239770921243872,0.963,0.9,0.0629999999999999
K169-29,Trh.Sim1.Nrn1.HY2,Nap1l5,1.23174873246243,0.00000000239770921243872,0.963,0.9,0.0629999999999999
K98-37,Trh.Sim1.Nrn1.HY2,Rps28,1.35115134618485,0.0000000024606027270644,0.633,0.129,0.504
K169-29,Trh.Sim1.Nrn1.HY2,Rps28,1.35115134618485,0.0000000024606027270644,0.633,0.129,0.504
K98-37,Trh.Sim1.Nrn1.HY2,Fxyd6,1.51468566296248,0.00000000275351071016911,0.667,0.229,0.438
K169-29,Trh.Sim1.Nrn1.HY2,Fxyd6,1.51468566296248,0.00000000275351071016911,0.667,0.229,0.438
K98-37,Trh.Sim1.Nrn1.HY2,Rps3,1.46764126504984,0.0000000032723786500389,0.613,0.114,0.499
K169-29,Trh.Sim1.Nrn1.HY2,Rps3,1.46764126504984,0.0000000032723786500389,0.613,0.114,0.499
K98-37,Trh.Sim1.Nrn1.HY2,Tomm20,1.19335997471316,0.0000000033495417945463,0.6,0.071,0.529
K169-29,Trh.Sim1.Nrn1.HY2,Tomm20,1.19335997471316,0.0000000033495417945463,0.6,0.071,0.529
K98-37,Trh.Sim1.Nrn1.HY2,Rpsa,1.38976849450553,0.00000000340848109542772,0.671,0.171,0.5
K169-29,Trh.Sim1.Nrn1.HY2,Rpsa,1.38976849450553,0.00000000340848109542772,0.671,0.171,0.5
K98-37,Trh.Sim1.Nrn1.HY2,Rpl41,1.27002739648323,0.00000000434864867379493,0.808,0.543,0.265
K169-29,Trh.Sim1.Nrn1.HY2,Rpl41,1.27002739648323,0.00000000434864867379493,0.808,0.543,0.265
K98-37,Trh.Sim1.Nrn1.HY2,Tbca,1.2515190001254,0.00000000486880017200654,0.696,0.2,0.496
K169-29,Trh.Sim1.Nrn1.HY2,Tbca,1.2515190001254,0.00000000486880017200654,0.696,0.2,0.496
K98-37,Trh.Sim1.Nrn1.HY2,Lrpap1,1.48185458426441,0.00000000530738478530727,0.721,0.371,0.35
K169-29,Trh.Sim1.Nrn1.HY2,Lrpap1,1.48185458426441,0.00000000530738478530727,0.721,0.371,0.35
K98-37,Trh.Sim1.Nrn1.HY2,Atp1b1,1.53724183103971,0.00000000591518376739573,0.821,0.686,0.135
K169-29,Trh.Sim1.Nrn1.HY2,Atp1b1,1.53724183103971,0.00000000591518376739573,0.821,0.686,0.135
K98-37,Trh.Sim1.Nrn1.HY2,Tpt1,1.4221154887505,0.00000000757155336588099,0.617,0.114,0.503
K169-29,Trh.Sim1.Nrn1.HY2,Tpt1,1.4221154887505,0.00000000757155336588099,0.617,0.114,0.503
K98-37,Trh.Sim1.Nrn1.HY2,Erp29,1.24915192201594,0.00000000819237817394943,0.733,0.343,0.39
K169-29,Trh.Sim1.Nrn1.HY2,Erp29,1.24915192201594,0.00000000819237817394943,0.733,0.343,0.39
K98-37,Trh.Sim1.Nrn1.HY2,mt-Nd1,1.41618245539507,0.00000000966575320637777,0.625,0.143,0.482
K169-29,Trh.Sim1.Nrn1.HY2,mt-Nd1,1.41618245539507,0.00000000966575320637777,0.625,0.143,0.482
K98-37,Trh.Sim1.Nrn1.HY2,Rplp2,1.31895824957947,0.00000001222092195068,0.633,0.143,0.49
K169-29,Trh.Sim1.Nrn1.HY2,Rplp2,1.31895824957947,0.00000001222092195068,0.633,0.143,0.49
K98-37,Trh.Sim1.Nrn1.HY2,Hspa5,1.33926919448644,0.0000000152154971293565,0.704,0.286,0.418
K169-29,Trh.Sim1.Nrn1.HY2,Hspa5,1.33926919448644,0.0000000152154971293565,0.704,0.286,0.418
K98-37,Trh.Sim1.Nrn1.HY2,Rpl39,1.10261869610818,0.0000000197348402755152,0.583,0.086,0.497
K169-29,Trh.Sim1.Nrn1.HY2,Rpl39,1.10261869610818,0.0000000197348402755152,0.583,0.086,0.497
K98-37,Trh.Sim1.Nrn1.HY2,Calm1,2.0868762057221,0.0000000211429641484439,0.742,0.543,0.199
K169-29,Trh.Sim1.Nrn1.HY2,Calm1,2.0868762057221,0.0000000211429641484439,0.742,0.543,0.199
K98-37,Trh.Sim1.Nrn1.HY2,Rpl14,1.35956043050705,0.0000000272420649404235,0.637,0.171,0.466
K169-29,Trh.Sim1.Nrn1.HY2,Rpl14,1.35956043050705,0.0000000272420649404235,0.637,0.171,0.466
K98-37,Trh.Sim1.Nrn1.HY2,Scg5,1.06421176989451,0.0000000295486634213718,0.875,0.757,0.118
K169-29,Trh.Sim1.Nrn1.HY2,Scg5,1.06421176989451,0.0000000295486634213718,0.875,0.757,0.118
K98-37,Trh.Sim1.Nrn1.HY2,Tm2d3,1.26516629687019,0.0000000305134878216671,0.654,0.171,0.483
K169-29,Trh.Sim1.Nrn1.HY2,Tm2d3,1.26516629687019,0.0000000305134878216671,0.654,0.171,0.483
K98-37,Trh.Sim1.Nrn1.HY2,Rpl6,1.38597065145891,0.0000000329737886234562,0.817,0.7,0.117
K169-29,Trh.Sim1.Nrn1.HY2,Rpl6,1.38597065145891,0.0000000329737886234562,0.817,0.7,0.117
K98-37,Trh.Sim1.Nrn1.HY2,Rps11,1.36522357107846,0.000000036299814249676,0.642,0.186,0.456
K169-29,Trh.Sim1.Nrn1.HY2,Rps11,1.36522357107846,0.000000036299814249676,0.642,0.186,0.456
K98-37,Trh.Sim1.Nrn1.HY2,Rps20,1.28575382321469,0.0000000398890615620559,0.642,0.157,0.485
K169-29,Trh.Sim1.Nrn1.HY2,Rps20,1.28575382321469,0.0000000398890615620559,0.642,0.157,0.485
K98-37,Trh.Sim1.Nrn1.HY2,Tmsb4x,1.36923160978971,0.0000000475856572969326,0.613,0.157,0.456
K169-29,Trh.Sim1.Nrn1.HY2,Tmsb4x,1.36923160978971,0.0000000475856572969326,0.613,0.157,0.456
K98-37,Trh.Sim1.Nrn1.HY2,Ndufb5,1.22607357474911,0.0000000477552732184796,0.625,0.129,0.496
K169-29,Trh.Sim1.Nrn1.HY2,Ndufb5,1.22607357474911,0.0000000477552732184796,0.625,0.129,0.496
K98-37,Trh.Sim1.Nrn1.HY2,Atp5j,1.2538708017379,0.0000000506410043546262,0.617,0.157,0.46
K169-29,Trh.Sim1.Nrn1.HY2,Atp5j,1.2538708017379,0.0000000506410043546262,0.617,0.157,0.46
K98-37,Trh.Sim1.Nrn1.HY2,Cox6c,1.3139366742646,0.0000000530812735050458,0.637,0.171,0.466
K169-29,Trh.Sim1.Nrn1.HY2,Cox6c,1.3139366742646,0.0000000530812735050458,0.637,0.171,0.466
K98-37,Trh.Sim1.Nrn1.HY2,Elob,1.3955814304871,0.0000000591696380332761,0.642,0.186,0.456
K169-29,Trh.Sim1.Nrn1.HY2,Elob,1.3955814304871,0.0000000591696380332761,0.642,0.186,0.456
K98-37,Trh.Sim1.Nrn1.HY2,Ndufa3,1.08431024167462,0.0000000702874258115814,0.533,0.043,0.49
K169-29,Trh.Sim1.Nrn1.HY2,Ndufa3,1.08431024167462,0.0000000702874258115814,0.533,0.043,0.49
K98-37,Trh.Sim1.Nrn1.HY2,Atp5k,1.11584758708238,0.0000000891667458440133,0.667,0.214,0.453
K169-29,Trh.Sim1.Nrn1.HY2,Atp5k,1.11584758708238,0.0000000891667458440133,0.667,0.214,0.453
K98-37,Trh.Sim1.Nrn1.HY2,Slc25a4,1.45759241524386,0.000000104565997514201,0.742,0.514,0.228
K169-29,Trh.Sim1.Nrn1.HY2,Slc25a4,1.45759241524386,0.000000104565997514201,0.742,0.514,0.228
K98-37,Trh.Sim1.Nrn1.HY2,Atp5o,1.21877472373631,0.00000010549598950926,0.588,0.129,0.459
K169-29,Trh.Sim1.Nrn1.HY2,Atp5o,1.21877472373631,0.00000010549598950926,0.588,0.129,0.459
K98-37,Trh.Sim1.Nrn1.HY2,Nme1,1.17198099734307,0.000000199430133998092,0.567,0.1,0.467
K169-29,Trh.Sim1.Nrn1.HY2,Nme1,1.17198099734307,0.000000199430133998092,0.567,0.1,0.467
K98-37,Trh.Sim1.Nrn1.HY2,Tuba1b,1.14980534883957,0.000000238295676568928,0.583,0.129,0.454
K169-29,Trh.Sim1.Nrn1.HY2,Tuba1b,1.14980534883957,0.000000238295676568928,0.583,0.129,0.454
K98-37,Trh.Sim1.Nrn1.HY2,Scg2,1.69880104449589,0.00000024319260775183,0.842,0.657,0.185
K169-29,Trh.Sim1.Nrn1.HY2,Scg2,1.69880104449589,0.00000024319260775183,0.842,0.657,0.185
K98-37,Trh.Sim1.Nrn1.HY2,Slc25a3,1.02884885258556,0.000000267099266194258,0.762,0.371,0.391
K169-29,Trh.Sim1.Nrn1.HY2,Slc25a3,1.02884885258556,0.000000267099266194258,0.762,0.371,0.391
K98-37,Trh.Sim1.Nrn1.HY2,Cd81,1.20810988168484,0.000000267309186492114,0.742,0.386,0.356
K169-29,Trh.Sim1.Nrn1.HY2,Cd81,1.20810988168484,0.000000267309186492114,0.742,0.386,0.356
