C185	global_cor	n_markers	Affinati10x	Anderson10x	CampbellDropseq	ChenDropseq	Dowsett10xnuc	Flynn10x	Kim10x	KimDev10x	LeeDropseq	Mickelsen10x	Moffit10x	Morris10x	Mousebrainorg10x	RomanovDev10x	RossiDropseq	Rupp10x	Wen10x	wenDropseq
C185-129	0.24218	39		0.252635245028303	0.17798330230661	0.212283286243867			0.765467159322465				0.297871100492242	0.137959935016332	-0.105543166318498					0.136996171917566
C185-13	0.13134	40							0.743047047096689			-0.00311427469819246	0.114936695944342		0.0385680687175553		0.106346873583253			0.0976233044788767
C185-131	0.26965	382			0.257316956390162	0.218310070602873					0.252617940678039					0.437757040813725				
C185-132	0.05284	364		0.093740657567836	0.00750093148130938	0.0303869888731512		0.160060464671916	0.462186900045562	0.180889748267562	0.111249760523023			-0.0161614950186181	0.022416266544856	0.132229588487124			0.049243821316725	-0.0294323787146963
C185-133	0.03487	318		0.12003259668958	-0.0054233421030042	-0.020557427315991		0.169809306576323		0.222938224382774	0.142195347229707			0.00861512672384198	0.0892590580483325					
C185-134	0.09218	345		0.221336145723546	0.0533506169355805	0.0329227392865004		0.286949556245722	0.602598126092442	0.256723059090304	0.185733371624066				0.108618276789065	0.323975871613437				0.16496058786453
C185-139	0.49972	167		0.371184483428863		0.308908976454822		0.524626915937736	0.823697797652238	0.544051986779711	0.375320784331801	0.484705867637786	0.443270474695373	0.30719739552795	0.373541008366121	0.400922697396054	0.359685384601884		0.378504777972815	0.403876883733492
C185-14	0.41969	77		0.341893014475719		0.237798517760917			0.764108118679267	0.0767703646404881		0.354184875843552	0.372869587696594		0.226995948910635		0.341272399019601			0.278370630699517
C185-140	0.39612	301		0.27921120198583	0.203382475740993	0.243874073689536		0.421010848512622	0.790693332229866	0.462103142503742	0.297791767128667	0.432301785347761	0.290100652877402	0.212251257495413	0.291924658265356				0.282002374092947	0.311441612185329
C185-141	0.48321	306		0.208245383724599		0.134082066797458		0.258908465976758	0.823424371599077	0.289461263204401	0.205043000351997	0.251291337481236	0.236727529986755		0.171614892996677		0.242943739510715		0.204083809009093	0.230778490847264
