gene	pearson	spearman	sn_marker	sc_marker	both_marker	max_pct_any	max_mean_any
Fxyd6	0.658227916385819	0.653646697388633	FALSE	FALSE	TRUE	1	1.62246042701955
Fxyd7	0.792444903501089	0.773855606758832	FALSE	FALSE	TRUE	0.924	0.924
Fyco1	0.764763468255068	0.800411674347158	FALSE	FALSE	TRUE	0.766	0.71498379720041
Fyn	0.312929628302175	0.258986175115207	TRUE	FALSE	FALSE	0.8	0.929315025568959
Fyttd1	0.376798929718957	0.290021505376344	FALSE	TRUE	FALSE	0.833	0.818958775434826
Fzd3	0.0235873034263307	0.160061443932412	FALSE	FALSE	TRUE	0.75	0.636444746681521
G2e3	0.0578150692880806	0.0618986175115207	FALSE	FALSE	FALSE	0.571	0.4777856714462
G3bp1	0.224062692086015	0.163637480798771	FALSE	FALSE	FALSE	0.714	0.714
G3bp2	0.443345884406327	0.407281105990783	FALSE	TRUE	FALSE	1	1.27019817875214
G6pc3	0.210567404776581	0.243139784946237	FALSE	FALSE	FALSE	0.7	0.640463693216022
Gaa	0.427305517436058	0.446586789554531	FALSE	TRUE	FALSE	0.983	1.20352278134522
Gab2	0.381950987522486	0.229339477726574	FALSE	FALSE	TRUE	0.914	1.61084086529738
Gabarap	0.150597822110093	0.196098310291859	FALSE	TRUE	FALSE	0.927	0.96736546366863
Gabarapl1	0.283666164719232	0.251514592933948	FALSE	TRUE	FALSE	0.985	0.993971133644935
Gabarapl2	-0.0278258806650093	0.0222119815668203	FALSE	TRUE	FALSE	1	1.44521512982216
Gabbr1	0.342842716900685	0.388694316436252	FALSE	TRUE	FALSE	1	1.27801314022084
Gabbr2	0.686252690612177	0.639864823348694	FALSE	FALSE	TRUE	1	1.20763976238855
Gabra1	0.911299853499559	0.924350230414746	FALSE	FALSE	TRUE	0.962	0.962
Gabra2	0.793935068578376	0.761665130568356	FALSE	FALSE	TRUE	1	2.06983498275542
Gabra3	0.788855093447112	0.783569892473118	FALSE	FALSE	TRUE	0.867	0.908270650012491
Gabra4	0.766740727620978	0.856460829493087	FALSE	FALSE	TRUE	0.72	0.72
Gabra5	0.873240895209826	0.884921658986175	FALSE	FALSE	TRUE	0.737	0.828756376717199
Gabrb1	0.663003612544069	0.659348694316436	FALSE	TRUE	FALSE	1	2.04622884067821
Gabrb2	0.6541132457632	0.735170506912442	FALSE	FALSE	TRUE	0.893	1.0044325829061
Gabrb3	0.715381822288947	0.739864823348694	FALSE	TRUE	FALSE	1	2.13163696412675
Gabre	0.761097326011815	0.766992392583009	FALSE	FALSE	TRUE	0.45	0.45
Gabrg1	0.838484254467795	0.8316866359447	FALSE	FALSE	TRUE	1	1.18189105834788
Gabrg2	0.796011851893866	0.794359447004608	FALSE	FALSE	TRUE	1	1.49332508089448
Gabrg3	0.486299070004742	0.528043010752688	FALSE	FALSE	TRUE	1	1.98163691546449
Gabrq	0.744864222304945	0.763365227904476	FALSE	FALSE	TRUE	0.65	0.65
Gad1	0.921479120244371	0.915907834101382	FALSE	FALSE	TRUE	1	1
Gad2	0.928052614065005	0.936387096774193	FALSE	FALSE	TRUE	0.994	1.31055348531937
Gadd45g	0.49258448937854	0.44315821812596	FALSE	FALSE	TRUE	0.703	0.703
Gadd45gip1	0.323373492840398	0.311287250384025	FALSE	TRUE	FALSE	0.794	0.794
Gak	0.222703969739455	0.236620583717358	FALSE	FALSE	FALSE	0.5	0.54114683651763
Gal	0.929004606785812	0.752964669738863	FALSE	FALSE	TRUE	0.987	2.67731825506045
Galnt1	0.322401383037908	0.273812596006144	FALSE	FALSE	FALSE	0.617	0.523437205044939
Galnt10	0.616591892574584	0.578445468509985	FALSE	FALSE	TRUE	0.5	0.544591232683537
Galnt11	0.100014861432738	0.0927188940092166	FALSE	FALSE	FALSE	0.766	0.670619626805768
Galnt13	0.612486444487801	0.612055299539171	FALSE	FALSE	TRUE	1	2.22611848538402
Galnt14	0.86404240314695	0.791877112135176	FALSE	FALSE	TRUE	0.641	0.774947300855092
Galnt16	0.712033046570893	0.662943164362519	FALSE	FALSE	TRUE	0.858	0.858
Galnt17	0.183283711547225	-0.0388658239527898	TRUE	FALSE	FALSE	0.91	1.4630705273541
Galnt18	0.858692143433228	0.864866359447005	FALSE	FALSE	TRUE	0.769	1.00962462970931
Galnt2	0.264035818329138	0.0995879506283079	FALSE	FALSE	FALSE	0.44	0.44
Galnt7	0.662106054760746	0.6442089093702	FALSE	FALSE	TRUE	0.833	0.59601923703801
Galnt9	0.646344380785496	0.601290322580645	FALSE	FALSE	TRUE	0.714	0.633482505570334
Galntl6	0.441491865891393	0.293714285714286	FALSE	FALSE	TRUE	1	3.10620087158741
Gap43	0.686464436433638	0.517812596006144	FALSE	FALSE	TRUE	1	1.70767815214903
Gapdh	0.0232007947620282	0.0661935483870968	FALSE	FALSE	TRUE	1	1.94628689889494
Gapvd1	0.293318329183777	0.254138248847926	FALSE	FALSE	FALSE	0.875	0.836113344058472
Garem1	-0.0849320448945746	-0.0649801211206952	TRUE	FALSE	FALSE	0.59	0.625210041013975
Garnl3	0.661153453902193	0.696061443932412	FALSE	FALSE	TRUE	1	1.22301228039471
Gars	0.370246822296164	0.322531490015361	FALSE	FALSE	FALSE	0.667	0.615
Gart	0.431786258618251	0.411016897081413	FALSE	FALSE	FALSE	0.667	0.455537895019659
Gas2	0.642497104244204	0.653585253456221	FALSE	FALSE	TRUE	0.556	0.6379275104052
Gas5	0.269413450092783	0.274752688172043	TRUE	FALSE	FALSE	1	1.26318859103938
Gas6	0.844176856604537	0.811907834101383	FALSE	FALSE	TRUE	0.624	0.624
Gas7	0.510503510273063	0.571287250384025	FALSE	FALSE	TRUE	0.86	0.86
Gatad1	0.228624774412791	0.195926267281106	FALSE	FALSE	FALSE	0.625	0.585
Gatad2b	0.258398273281018	0.229603686635945	FALSE	FALSE	FALSE	1	1.09811910245954
Gbf1	0.134305885522934	0.100798771121352	FALSE	FALSE	TRUE	0.833	1.03601133925594
Gcc2	0.361943566595578	0.340614439324117	FALSE	FALSE	FALSE	0.875	0.899548301792395
Gchfr	0.25988045890367	0.290215355575798	FALSE	FALSE	FALSE	0.372	0.372
Gck	0.847140739413898	0.848546850998464	FALSE	FALSE	TRUE	0.75	0.745054302766043
Gclc	0.391738853697651	0.422562211981567	FALSE	FALSE	TRUE	0.643	0.466557652490647
Gclm	0.0745290781146782	0.163606758832565	FALSE	TRUE	FALSE	0.833	0.798
Gcsh	0.249590994892381	0.249640552995392	FALSE	FALSE	FALSE	0.632	0.632
Gda	0.944276215339853	0.940829493087557	FALSE	FALSE	TRUE	0.944	1.42280777076899
Gdap1	0.297307565453713	0.287889400921659	FALSE	FALSE	FALSE	0.889	0.893710675695072
Gdap1l1	0.247848069502444	0.251643625192012	FALSE	FALSE	FALSE	0.523	0.523
Gde1	0.36004830963338	0.388503840245776	FALSE	TRUE	FALSE	0.794	0.794
Gdi1	0.205749867867877	0.235268817204301	FALSE	TRUE	FALSE	1	1.30717166345019
Gdi2	0.314014554712335	0.277032258064516	FALSE	TRUE	FALSE	0.877	0.877
Gdpd1	0.34547484994281	0.386764976958525	FALSE	TRUE	FALSE	0.9	0.965345468740336
Gdpd2	0.847493025344628	0.776430107526882	FALSE	FALSE	TRUE	0.615	0.494012436643124
Gdpd5	0.378074667316646	0.436372406102521	FALSE	TRUE	FALSE	0.56	0.56
Gem	0.7451094481192	0.775092407617058	FALSE	FALSE	TRUE	0.419	0.481403747456124
Gemin7	0.0500085504112905	0.0632135176651306	FALSE	FALSE	FALSE	0.568	0.568
Get4	-0.00231579014622311	-0.0045284178187404	FALSE	FALSE	FALSE	0.625	0.481
Gfm2	0.00474696829754196	-0.0394715821812596	FALSE	FALSE	FALSE	0.625	0.630401859093445
Gfod2	0.248503085704889	0.261241167434716	FALSE	FALSE	FALSE	0.786	0.668669808191899
Gfpt1	0.451470998278942	0.410224270353303	FALSE	FALSE	TRUE	0.692	0.622311972742836
Gfra1	0.883881503501973	0.822611367127496	FALSE	FALSE	TRUE	0.875	1.0636446372516
Gfra2	0.881325544927033	0.857290322580645	FALSE	FALSE	TRUE	0.656	0.738387439641621
Gfra4	0.485568376436632	0.51136712749616	FALSE	TRUE	FALSE	0.615	0.521
Gga1	0.309452203237216	0.343674347158218	FALSE	FALSE	FALSE	0.571	0.516512907963018
Gga2	0.323976858293518	0.349585253456221	FALSE	FALSE	FALSE	0.553	0.375890844630409
Ggct	0.572035080495824	0.600013210466469	FALSE	TRUE	FALSE	0.523	0.523
Ggnbp2	0.269073000319446	0.247870967741935	FALSE	FALSE	FALSE	0.875	0.916211315096873
Ggps1	0.212514391845429	0.186881720430108	FALSE	FALSE	FALSE	0.846	0.851342709919333
Ggt7	0.344396841397059	0.345658986175115	FALSE	TRUE	FALSE	0.889	0.882620574060576
Ghitm	0.471541311775137	0.427379416282642	FALSE	TRUE	FALSE	0.938	0.938
Ghr	0.824094996493189	0.812411674347158	FALSE	FALSE	TRUE	0.995	2.92848919177073
Ghrh	0.965039198361144	0.336469412782338	FALSE	FALSE	TRUE	0.749	1.36022160083164
Gigyf2	0.308703217184868	0.245278033794163	FALSE	FALSE	FALSE	0.9	0.92598890891591
Git2	0.225645922037505	0.173198156682028	FALSE	FALSE	FALSE	0.714	0.689616146711587
Gja1	0.118096360395954	0.0924804104834239	FALSE	FALSE	FALSE	0.483	0.483
Gk	0.276375642121962	0.209560675883256	TRUE	FALSE	FALSE	0.5	0.55372141475138
Gkap1	0.620971866305643	0.611330261136713	FALSE	FALSE	TRUE	1	1.15839597488664
Glb1	0.185076357452803	0.181972350230415	FALSE	FALSE	FALSE	0.625	0.531972273347943
