clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2	out_degree_1	in_degree_1	component_id	out_degree_2	in_degree_2
Gpr149.Nr5a1.Cd40.Fezf1.HY2	C6-Megf11/Nr5a1	1220	1017	510	0.418032786885246	0.501474926253687	2	2	69	2	3
Il1rapl2.Pthlh.Six3.Hmx2.HY1	C12-Epha3/Pou6f2	325	800	316	0.972307692307692	0.395	1	1	78	2	4
Hk2.HY14.HY10.HY2	C61-Btg2/Mei4	164	175	121	0.737804878048781	0.691428571428571	1	1	36	1	1
Tcf7l2.Tmem114.Lef1.Hmx2.HY1	C27-Npsr1/Lef1	530	599	461	0.869811320754717	0.769616026711185	1	1	77	1	2
Drd1.Tac1.Crym.Ppp1r1b.HY2	C19-Sst/Epha3	71	627	25	0.352112676056338	0.0398724082934609	2	0	35	2	4
Prph.Lef1.Hmx2.HY1	C54-Npsr1/Epha3	570	250	186	0.326315789473684	0.744	2	2	64	1	1
Nrn1.HY14.HY10.HY2	C16-Ntng2/Lef1	80	656	76	0.95	0.115853658536585	1	1	62	2	2
Ebf3.Oxt	C8-Ebf3/Sim1	408	936	66	0.161764705882353	0.0705128205128205	2	1	56	3	6
Bace2.Tcf7l2.Tbx3.HY1	C20-Lmo7	337	621	303	0.899109792284867	0.48792270531401	1	1	34	2	2
Tac2.Arx.Six6.HY1	C0-Slc32a1/Gad1	188	1508	123	0.654255319148936	0.0815649867374005	2	0	42	3	12
Irx3.Pitx2.Tbr1.Nrn1.HY2	C35-Tac1/Ddc	1179	471	461	0.391009329940628	0.978768577494692	4	4	74	1	1
Pax6.Nfix.St18.Arx.HY1	C29-Reln/Nfib	359	536	154	0.428969359331476	0.287313432835821	2	2	75	2	6
Cpne9.Sall3.Pitx2.Foxb1.HY2	C8-Ebf3/Sim1	1748	936	124	0.0709382151029748	0.132478632478632	2	5	65	3	6
Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2	C56-Lmo3/Nrgn/Mc4r	188	216	151	0.803191489361702	0.699074074074074	1	1	33	2	1
Gbx1.Lhx8.Lhx6.Arx.HY1	C52-Chrm2/Fign	122	284	88	0.721311475409836	0.309859154929577	1	1	39	1	4
Mobp.Sepp1.Pitx2.Foxb1.HY2	C23-Pmch/Sst	141	550	55	0.390070921985816	0.1	2	1	51	0	5
Nts.Npy.Otp.HY1	C20-Lmo7	228	621	117	0.513157894736842	0.188405797101449	1	1	34	2	2
Sox6.Npy.Otp.HY1	C63-Sst/Pnoc	171	138	125	0.730994152046784	0.905797101449275	1	1	32	1	1
Nts.Hmx3.Hmx2.HY1	C34-Nts/Pou6f2	58	471	38	0.655172413793103	0.0806794055201699	1	0	31	2	7
Crabp1.Nfib.Six3.Hmx2.HY1	C21-Crabp1/Vgll3	123	614	116	0.943089430894309	0.188925081433225	1	1	37	2	3
Bdnf.C1ql2.Epha6.Fezf1.HY2	C7-Fezf1/Nr5a1	120	945	111	0.925	0.117460317460317	1	1	69	3	7
Ebf1.Nkx2-4.Gsx1.Hmx2.HY1	C33-Ebf1/Lepr	54	485	52	0.962962962962963	0.107216494845361	1	1	48	2	2
Qrfpr.Cd40.Fezf1.HY2	C7-Fezf1/Nr5a1	193	945	37	0.191709844559585	0.0391534391534392	2	1	55	3	7
Postn.Ctxn3.Pitx2.Foxb1.HY2	C9-Rgs6/Rprm	63	915	62	0.984126984126984	0.0677595628415301	1	0	30	2	3
Cplx1.Gad2.Arx.HY1	C0-Slc32a1/Gad1	147	1508	121	0.82312925170068	0.0802387267904509	1	0	29	3	12
Sstr1.Sst.Il1rapl2.Otp.HY1	C28-Sst/Otp	250	563	241	0.964	0.428063943161634	1	1	45	2	4
Trh.Sim1.Nrn1.HY2	C70-Trh/Sim1	310	26	26	0.0838709677419355	1	2	2	67	1	0
