ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000001054,0.974732463398005,0.0780287804360922,ip_input_control,Rmnd5b
ENSMUSG00000001056,1.09008093377785,0.101248656801391,ip_input_control,Nhp2
ENSMUSG00000001062,1.24329218791037,0.00309098435718759,ip_input_control,Vps9d1
ENSMUSG00000001065,1.38467407105878,0.016415635214692,ip_input_control,Zfp276
ENSMUSG00000001076,2.39613183654357,,ip_input_control,C1ql4
ENSMUSG00000001082,1.19270376749947,0.0274914116180295,ip_input_control,Mfsd10
ENSMUSG00000001089,0.499877881538781,0.111930872980604,ip_input_control,Luzp1
ENSMUSG00000001098,0.943280747102238,0.00238773449520583,ip_input_control,Kctd10
ENSMUSG00000001100,0.894606139488145,0.0615426428553652,ip_input_control,Poldip2
ENSMUSG00000001103,-3.05097002836979,,ip_input_control,Sebox
ENSMUSG00000001105,0.495689046150295,0.1088969383254,ip_input_control,Ift20
ENSMUSG00000001119,1.66801514937623,0.0744369708818832,ip_input_control,Col6a1
ENSMUSG00000001120,1.15615081874328,0.018899736035812,ip_input_control,Pcbp3
ENSMUSG00000001123,-0.485005895260675,0.718285675538103,ip_input_control,Lgals9
ENSMUSG00000001127,1.01967961636178,0.00125079791442006,ip_input_control,Araf
ENSMUSG00000001128,0.362117776244514,0.739892181231293,ip_input_control,Cfp
ENSMUSG00000001131,4.13080622845009,0.087421490770998,ip_input_control,Timp1
ENSMUSG00000001134,1.26565582115787,0.145756883315182,ip_input_control,Uxt
ENSMUSG00000001138,0.721617055348381,0.0459648330757528,ip_input_control,Cnnm3
ENSMUSG00000001143,0.500557351384927,0.119473394875727,ip_input_control,Lman2l
ENSMUSG00000001150,0.891180178789256,0.0241731937126013,ip_input_control,Mcm3ap
ENSMUSG00000001151,1.41009942030828,0.00699909549472405,ip_input_control,Pcnt
ENSMUSG00000001156,0.322182630688029,0.503193826371759,ip_input_control,Mxd1
ENSMUSG00000001157,0.443701929795039,0.154079515171324,ip_input_control,Gmcl1
ENSMUSG00000001158,0.729255991484594,0.175510119421514,ip_input_control,Snrnp27
ENSMUSG00000001166,1.19594382497229,,ip_input_control,Oas1c
ENSMUSG00000001173,0.783662283890292,0.0021929148108932,ip_input_control,Ocrl
ENSMUSG00000001175,0.38275686744006,0.0580043837436894,ip_input_control,Calm1
ENSMUSG00000001211,0.832160561880717,0.00184570326492656,ip_input_control,Agpat3
ENSMUSG00000001227,0.970499824574722,0.00240850333188014,ip_input_control,Sema6b
ENSMUSG00000001229,0.688508879534062,0.086074844793862,ip_input_control,Dpp9
ENSMUSG00000001240,1.48899627514285,0.18535508987099,ip_input_control,Ramp2
ENSMUSG00000001247,2.37282286839256,,ip_input_control,Lsr
ENSMUSG00000001248,0.951294987688777,0.0339519501339809,ip_input_control,Gramd1a
ENSMUSG00000001260,0.578810676964349,0.12031642034766,ip_input_control,Gabrg1
ENSMUSG00000001270,1.29402214276892,6.67058260925107e-05,ip_input_control,Ckb
ENSMUSG00000001280,-0.335456150769605,0.333578034251521,ip_input_control,Sp1
ENSMUSG00000001285,0.874626397891809,0.259504893645856,ip_input_control,Myg1
ENSMUSG00000001288,0.29413771230973,,ip_input_control,Rarg
ENSMUSG00000001289,0.554361149653127,0.149687844888128,ip_input_control,Pfdn5
ENSMUSG00000001300,0.620911609135732,0.116514488956703,ip_input_control,Efnb2
ENSMUSG00000001305,0.712812573654039,0.41959848291389,ip_input_control,Rrp15
ENSMUSG00000001313,0.412163258925073,0.183957990963167,ip_input_control,Rnd2
ENSMUSG00000001323,0.351167788999481,0.253297609666883,ip_input_control,Srr
ENSMUSG00000001333,0.43352242435061,,ip_input_control,Sync
ENSMUSG00000001334,0.586291849932555,0.0202927731704546,ip_input_control,Fndc5
ENSMUSG00000001349,2.836384588915,,ip_input_control,Cnn1
ENSMUSG00000001366,0.71157733662117,0.00577402382894041,ip_input_control,Fbxo9
ENSMUSG00000001376,0.647414319466725,0.111430579092555,ip_input_control,Vps50
ENSMUSG00000001380,1.0710014367075,2.01881919376198e-06,ip_input_control,Hars
ENSMUSG00000001383,0.568586762040855,0.0328800317930671,ip_input_control,Zmat2
ENSMUSG00000001403,1.16666077124348,,ip_input_control,Ube2c
ENSMUSG00000001415,1.33769230062529,7.55148859947262e-06,ip_input_control,Smg5
ENSMUSG00000001416,1.07278939291433,0.000912156838832687,ip_input_control,Cct3
ENSMUSG00000001418,1.08456397263742,0.00964444630839482,ip_input_control,Glmp
ENSMUSG00000001419,1.06598028990494,1.00486477701169e-05,ip_input_control,Mef2d
ENSMUSG00000001424,1.10553602667094,0.00080197312870508,ip_input_control,Snd1
ENSMUSG00000001436,0.906931162715826,0.189296269573687,ip_input_control,Slc19a1
ENSMUSG00000001440,0.802805339225209,0.00185868941481225,ip_input_control,Kpnb1
ENSMUSG00000001441,0.640883348373299,0.0103446003585833,ip_input_control,Npepps
ENSMUSG00000001445,1.05473232317595,0.00791354230453122,ip_input_control,Mrpl10
ENSMUSG00000001467,0.447295618496369,0.286475800726863,ip_input_control,Cyp51
ENSMUSG00000001472,1.11106693392076,2.16523717503007e-07,ip_input_control,Tcf25
ENSMUSG00000001473,1.24779591145609,0.319782050729647,ip_input_control,Tubb6
ENSMUSG00000001482,0.571574426220218,0.11391810663387,ip_input_control,Def8
ENSMUSG00000001496,0.158486095257861,0.850783718837132,ip_input_control,Nkx2-1
ENSMUSG00000001504,0.480778769335977,,ip_input_control,Irx2
ENSMUSG00000001506,1.6530851319988,0.0177059162026063,ip_input_control,Col1a1
ENSMUSG00000001507,0.897750328146282,0.0666008480677452,ip_input_control,Itga3
ENSMUSG00000001510,-0.513476604013327,,ip_input_control,Dlx3
ENSMUSG00000001517,1.01141290280694,,ip_input_control,Foxm1
ENSMUSG00000001518,0.735270749710043,0.14539119910345,ip_input_control,Itfg2
ENSMUSG00000001520,1.32709902548273,0.000131982053888526,ip_input_control,Nrip2
ENSMUSG00000001521,0.545308061531404,0.32317065371322,ip_input_control,Tulp3
ENSMUSG00000001524,0.57026447592971,0.628855661985605,ip_input_control,Gtf2h4
ENSMUSG00000001525,1.14972526463029,6.52006894939923e-06,ip_input_control,Tubb5
ENSMUSG00000001542,0.465182009754997,0.345646028813162,ip_input_control,Ell2
ENSMUSG00000001552,1.66373128707676,0.00195158055401145,ip_input_control,Jup
ENSMUSG00000001555,1.1255635374062,,ip_input_control,Fkbp10
ENSMUSG00000001569,0.440678584624275,0.368239784709437,ip_input_control,Nom1
ENSMUSG00000001576,0.92547349385067,0.0135362429960652,ip_input_control,Ergic1
ENSMUSG00000001627,0.489595270009142,0.30068923334223,ip_input_control,Ifrd1
ENSMUSG00000001630,0.347321171551221,0.39248295101964,ip_input_control,Stk38l
ENSMUSG00000001632,0.882691301265362,0.121540159841164,ip_input_control,Brpf1
ENSMUSG00000001642,1.27808775806862,0.00240374193631665,ip_input_control,Akr1b3
ENSMUSG00000001663,0.451899956912777,0.698923267161799,ip_input_control,Gstt1
ENSMUSG00000001665,0.147239812995681,0.822712129509032,ip_input_control,Gstt3
ENSMUSG00000001666,1.03013530577133,0.0160987811040964,ip_input_control,Ddt
ENSMUSG00000001674,1.15754862131025,0.0561340901343868,ip_input_control,Ddx18
ENSMUSG00000001687,0.303957706489108,0.305318713998159,ip_input_control,Ubl3
ENSMUSG00000001707,0.781500538108022,0.175285255819987,ip_input_control,Eef1e1
ENSMUSG00000001729,1.08956504040061,0.000179375534317724,ip_input_control,Akt1
ENSMUSG00000001750,1.7709273927035,0.0102547394172354,ip_input_control,Tcirg1
ENSMUSG00000001751,0.928824513973299,,ip_input_control,Naglu
ENSMUSG00000001755,1.01532177180256,0.0235449955357231,ip_input_control,Coasy
ENSMUSG00000001761,0.380691679081925,0.504602302380955,ip_input_control,Smo
ENSMUSG00000001763,1.37533334952455,0.0114173287711973,ip_input_control,Tspan33
ENSMUSG00000001767,0.769983559579727,0.0940158557474401,ip_input_control,Crnkl1
ENSMUSG00000001768,0.18992345329089,0.781642167094898,ip_input_control,Rin2
