ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000001105,0.999866263224827,1.44776010799552e-05,ip_input_cre,Ift20
ENSMUSG00000001120,1.26108919524151,0.000185307232583735,ip_input_cre,Pcbp3
ENSMUSG00000001123,-2.48574591054358,0.000328443243097072,ip_input_cre,Lgals9
ENSMUSG00000001127,0.715066653257561,0.000375241779810709,ip_input_cre,Araf
ENSMUSG00000001128,-3.39041073495555,0.00822691731205593,ip_input_cre,Cfp
ENSMUSG00000001131,4.80906512994161,5.82971994490536e-23,ip_input_cre,Timp1
ENSMUSG00000001134,0.800061921036943,0.275022483177009,ip_input_cre,Uxt
ENSMUSG00000001138,-0.358175845194867,0.482719932789416,ip_input_cre,Cnnm3
ENSMUSG00000001143,0.743034836924563,0.00152645768701797,ip_input_cre,Lman2l
ENSMUSG00000001150,-0.353728645995649,0.17220829846087,ip_input_cre,Mcm3ap
ENSMUSG00000001151,-0.792712411972849,0.000145924752857389,ip_input_cre,Pcnt
ENSMUSG00000001156,-0.333973633309408,0.398528970821488,ip_input_cre,Mxd1
ENSMUSG00000001157,0.301988222423437,0.160541307465992,ip_input_cre,Gmcl1
ENSMUSG00000001158,0.632853476656294,0.00322780043690693,ip_input_cre,Snrnp27
ENSMUSG00000001166,0.889058966279467,0.0786622714501752,ip_input_cre,Oas1c
ENSMUSG00000001173,-0.186236819722494,0.315529639454815,ip_input_cre,Ocrl
ENSMUSG00000001175,0.184061520522656,0.166555250841922,ip_input_cre,Calm1
ENSMUSG00000001211,-0.411420196259311,0.0515416174359556,ip_input_cre,Agpat3
ENSMUSG00000001227,0.791834843425252,0.0213621780058357,ip_input_cre,Sema6b
ENSMUSG00000001229,-0.19888335034744,0.435245646539713,ip_input_cre,Dpp9
ENSMUSG00000001240,-0.859351742814988,0.522657072845679,ip_input_cre,Ramp2
ENSMUSG00000001247,1.9760778009303,0.247995382230543,ip_input_cre,Lsr
ENSMUSG00000001248,-0.102108541328207,0.729417363695993,ip_input_cre,Gramd1a
ENSMUSG00000001260,-0.122875338242533,0.737953964185716,ip_input_cre,Gabrg1
ENSMUSG00000001270,-0.896327780507927,0.000133363209409185,ip_input_cre,Ckb
ENSMUSG00000001280,-1.86580379382188,1.47869896137538e-10,ip_input_cre,Sp1
ENSMUSG00000001285,0.649826412831492,0.0618546739907217,ip_input_cre,Myg1
ENSMUSG00000001288,-0.728535058187869,0.419269661509021,ip_input_cre,Rarg
ENSMUSG00000001289,1.51634159687084,5.5171935764831e-07,ip_input_cre,Pfdn5
ENSMUSG00000001300,0.301690417452943,0.192745015925033,ip_input_cre,Efnb2
ENSMUSG00000001305,0.662486828693181,0.0284001661959245,ip_input_cre,Rrp15
ENSMUSG00000001313,-0.584651692269691,0.0625621960106091,ip_input_cre,Rnd2
