ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,external_gene_name
ENSMUSG00000022338,2426.24785566993,0.522898063672043,0.0998199055577545,5.23841473051186,1.61961776383074e-07,8.32174563187556e-07,hypoip_vs_hypoinput,Eny2
ENSMUSG00000035754,1251.46091171368,0.605003879778194,0.115493824032073,5.23840893527071,1.61966861291538e-07,8.32174563187556e-07,hypoip_vs_hypoinput,Wdr18
ENSMUSG00000024393,7667.35670563174,0.482838539481662,0.0921807082081449,5.23795649726847,1.62364320015036e-07,8.33882323315699e-07,hypoip_vs_hypoinput,Prrc2a
ENSMUSG00000036138,616.575604370542,-0.898590765025878,0.171558060981861,-5.23782304301568,1.62481737208217e-07,8.34151033888658e-07,hypoip_vs_hypoinput,Acaa1a
ENSMUSG00000019775,10705.0507492725,-0.493883560006109,0.094326973275306,-5.23586777839932,1.64211482252978e-07,8.42693605762779e-07,hypoip_vs_hypoinput,Rgs17
ENSMUSG00000055737,574.879178438907,0.821148762748024,0.156893501901192,5.23379714773125,1.66062696355476e-07,8.51852438390339e-07,hypoip_vs_hypoinput,Ghr
ENSMUSG00000021286,121.031855277292,-1.67278399318275,0.319629159389543,-5.23351497835048,1.66316522339869e-07,8.52813092142088e-07,hypoip_vs_hypoinput,Zfyve21
ENSMUSG00000051950,419.043038171507,-1.10164172584091,0.210571545849817,-5.23167421027824,1.67981618291915e-07,8.6078961617417e-07,hypoip_vs_hypoinput,B3glct
ENSMUSG00000071847,82.7629570574135,-1.95760546130722,0.374185320093598,-5.23164687705427,1.68006464027751e-07,8.6078961617417e-07,hypoip_vs_hypoinput,Apcdd1
ENSMUSG00000056972,828.755665722083,0.742872485139129,0.142010185306557,5.23112115891893,1.68485030606557e-07,8.62896555632461e-07,hypoip_vs_hypoinput,Magel2
ENSMUSG00000021279,2494.7372478925,0.52379325876034,0.10016236350365,5.22944188254157,1.7002253854194e-07,8.70423015931452e-07,hypoip_vs_hypoinput,Cdc42bpb
