feature	expression	ident
Npy	2.80092721702468	Affinati10x
Npy	3.98681800901744	Affinati10x
Npy	2.78217241347111	Affinati10x
Npy	3.11317301769412	Affinati10x
Npy	3.55038302549085	Affinati10x
Npy	2.06751268055485	Affinati10x
Npy	2.50206475943948	Affinati10x
Npy	3.44713961378565	Affinati10x
Npy	3.5113050109956	Affinati10x
Npy	3.50673865474595	Affinati10x
Npy	3.96709281591885	Affinati10x
Npy	2.64310121341594	Affinati10x
Npy	3.6287875746336	Affinati10x
Npy	3.1014023172642	Affinati10x
Npy	3.19792369230868	Affinati10x
Npy	3.81065718045592	Affinati10x
Npy	3.36188135502498	Affinati10x
Npy	3.60190388690589	Affinati10x
Npy	3.72949496400688	Affinati10x
Npy	3.58219418861947	Affinati10x
Npy	3.43422098738846	Affinati10x
Npy	3.61216249062373	Affinati10x
Npy	2.87425897450313	Affinati10x
Npy	3.37616550535956	Affinati10x
Npy	2.48702207422414	Affinati10x
Npy	2.77430102443977	Affinati10x
Npy	3.42500433314685	Affinati10x
Npy	3.25643259361788	Affinati10x
Npy	2.97100758253382	Affinati10x
Npy	3.56427004983672	Affinati10x
Npy	2.81533273831334	Affinati10x
Npy	3.16058169203208	Affinati10x
Npy	1.57471867783244	Affinati10x
Npy	3.5868058460131	Affinati10x
Npy	0.922888642014231	Affinati10x
Npy	3.13963291743557	Affinati10x
Npy	3.97021441334596	Affinati10x
Npy	3.25695109165719	Affinati10x
Npy	2.57956490677943	Affinati10x
Npy	1.92959413570077	Affinati10x
Npy	2.81025026032256	Affinati10x
Npy	1.38321475430784	Affinati10x
Npy	2.61669125952649	Affinati10x
Npy	1.11130416100139	Affinati10x
Npy	3.6368232922963	Affinati10x
Npy	3.29707354671924	Affinati10x
Npy	3.43433750148124	Affinati10x
Npy	3.21647112913089	Affinati10x
Npy	1.66837097181052	Affinati10x
Npy	3.3635038140138	Affinati10x
Npy	1.86187271428034	Affinati10x
Npy	2.25062355689155	Affinati10x
Npy	2.24045210738907	Affinati10x
Npy	3.23748939765115	Affinati10x
Npy	4.04545652711997	Affinati10x
Npy	3.23568436913818	Affinati10x
Npy	3.58347474516246	Affinati10x
Npy	2.77166981377408	Affinati10x
Npy	4.3472636789581	Affinati10x
