umapbestScanorama_1	umapbestScanorama_2	Dataset
-1.81454167087276	0.981648319925937	Rossi
-5.05759618003567	-2.55138594511541	Kim
4.20757725517552	3.19301789399591	Campbell
-0.882789883210258	4.20037286874262	Moffit
-0.148518803908424	5.48887556191889	Moffit
5.9925260810117	3.542603427138	Campbell
0.71053483764927	8.50637167092768	Campbell
0.702382412360116	-10.6425197780469	Flynn
-4.50163552482326	-0.334422862563458	wenDropSeq
1.00667014400761	-11.5917375743726	Flynn
1.87112155239384	0.364552074637088	Moffit
-0.112653735472755	-10.6805227458814	Chen
-6.08093259055813	-1.12578040960821	Kim
-1.6135165425082	-2.48201615217718	Moffit
0.2491144208173	-4.67377263906988	Flynn
0.670239952013894	-10.1110790431837	Flynn
8.85911705772679	-1.10815877321753	Campbell
-1.18077442367275	0.706006640162143	Moffit
