umapbestscVI_1	umapbestscVI_2	Dataset
2.61072726401748	-3.95325924044548	Rossi
2.54876990470352	-7.80313659792839	Kim
-4.17466287460862	-1.40280462389885	Campbell
-1.9064357742363	-5.75477100497185	Moffit
-3.69188051071702	-6.41774774676262	Moffit
-3.43682365265427	0.0961620699793226	Campbell
2.02093858870925	-8.43219925051628	Campbell
3.45479006919326	10.7445547472865	Flynn
3.23374481353225	3.08298133725227	wenDropSeq
3.32366986426773	11.3448173891932	Flynn
0.646553142399211	-1.74181712752281	Moffit
3.66532154235305	9.79137729519905	Chen
3.59744401130142	4.85363649243416	Kim
5.09816570434036	2.31315277928413	Moffit
1.37301988753738	2.56643842572273	Flynn
4.45717353972854	9.07481693142952	Flynn
-7.67640142288743	0.43903433198036	Campbell
2.45393414649429	-5.23710418826042	Moffit
1.03169549855651	-0.866407524403917	Chen
