umapbestharmony_1	umapbestharmony_2	Dataset
0.431836270379466	3.46875402800998	Rossi
3.68615876941625	4.37873790137729	Kim
4.59784995822851	3.77956578605136	Campbell
-1.37695873470362	3.90376183860263	Moffit
-0.428156919193822	5.39614293448886	Moffit
6.53883039264624	3.8673395859476	Campbell
1.48587464599554	8.98772189490756	Campbell
-0.261291898203451	-10.8532643569235	Flynn
-5.05497921199854	-0.600458155346308	wenDropSeq
-0.419731832457143	-11.5422120345358	Flynn
1.00838243274633	0.986274574923124	Moffit
-1.32358051033075	-10.5979829085592	Chen
-5.52579200954493	-2.15298035271207	Kim
-2.93202889652308	-6.50603487618009	Moffit
0.0258609770113646	-7.42004110939542	Flynn
-0.198356009436208	-9.95434811241666	Flynn
6.74654971866552	-0.419055263471994	Campbell
-3.91615975589808	1.12934253089389	Moffit
