umapharmonylowdim_1	umapharmonylowdim_2	Dataset
7.14863995863034	0.52110673609361	Kim
-5.05559273408816	2.27330498519525	Rossi
-2.97290058778689	3.55705575767145	Kim
-4.65166111635135	0.180449323087781	Campbell
-0.586158830394011	-2.63006682571784	Moffit
-2.43245239900516	-3.52787919220343	Moffit
-6.1945631091492	-0.32505945739165	Campbell
-3.11692281412051	3.8446505528985	Campbell
-1.89508839296268	5.48311428847894	Flynn
3.95001129461362	-2.77670211967841	wenDropSeq
7.30941418958737	2.67959098640069	Flynn
-6.02937288927005	-1.15224201855078	Moffit
7.79385690046384	1.91497258964166	Chen
4.14195565534665	-2.13392801460639	Kim
5.0879075939758	2.88219837966546	Moffit
3.74768213583066	-1.77442987141028	Flynn
7.54672078443601	0.965890453487485	Flynn
-1.2992560450928	-6.02071948227301	Campbell
