umapbestcombat_1	umapbestcombat_2	Dataset
-0.0170961405389972	-0.315387949241519	Kim
5.5465433512575	3.82423914979565	Campbell
-1.49138761416609	3.19395555566418	Moffit
-2.0120630349272	4.84121359895337	Moffit
7.23626588925188	4.57371844361889	Campbell
3.43885611637896	-3.01140747953784	Campbell
-1.38685513392622	-1.34759949137104	Flynn
-4.21341181651289	1.45197559903729	wenDropSeq
-3.1465354050749	-10.181676491989	Flynn
3.18175911053484	1.61739780019391	Moffit
-4.4171378697508	-9.24951229978931	Chen
-5.08301378146345	0.771547928558469	Kim
-4.48225189105207	-3.334161862625	Moffit
-4.91310192004377	-5.15562687803638	Flynn
-2.38281751528913	-6.45913659025562	Flynn
7.40854381665056	2.15306366990674	Campbell
-0.799047657405681	0.478634551273466	Moffit
3.31392883404558	1.42370904992688	Chen
