umapbestseuratIntegration_1	umapbestseuratIntegration_2	Dataset
0.09897894712819	-2.19394307155088	Kim
3.59031672331227	0.0181737659506426	Rossi
4.58151454779042	5.95750493984743	Kim
3.14274091574086	8.95713443737551	Campbell
1.50615055414571	-1.67503933925108	Moffit
-4.76672868875133	4.06229228954836	Moffit
0.140219952191247	8.40052337627932	Campbell
8.08247251364125	0.880945575051747	Campbell
-0.441671480213271	-2.04739527720884	Flynn
-4.98376922753917	-4.83986787814573	wenDropSeq
2.22537882181538	-5.60185842532591	Flynn
-0.263063926969634	6.82553453426882	Moffit
0.800721536601914	-5.69529895801023	Chen
-2.81106286195384	-5.19255428332762	Kim
-2.79849939492808	3.21518297176882	Moffit
-3.43320446160899	-3.75298099536375	Flynn
1.44408674093617	-5.07967453021482	Flynn
-4.15808897164928	2.03481752853914	Campbell
