umapscvicov_1	umapscvicov_2	Dataset
3.47918680064306	1.97404721681388	Rossi
-0.494857581929115	-1.13248160179345	Kim
-7.10404894001856	5.80762580339225	Campbell
-2.24036357052698	1.50805524293692	Moffit
-2.67716619618311	-0.171129097003624	Moffit
-4.87281629689112	6.8632698387316	Campbell
4.1685390745841	5.42725947801383	Campbell
6.71816137187109	-8.36849400099008	Flynn
0.594209638758752	-3.95454808767526	wenDropSeq
6.76769807688818	-8.97501465376107	Flynn
-1.37867865212336	4.66069320146354	Moffit
7.40517499796972	-7.17591759260385	Chen
2.01363125197515	-5.08824965055673	Kim
1.47778799883947	-7.17579504545419	Moffit
-1.59020611889735	-4.5565561919996	Flynn
7.59206655375585	-6.33631130750863	Flynn
-6.98806306965723	-2.30125876959054	Campbell
2.42487981669531	2.67565635148795	Moffit
