umapbestRaw_1	umapbestRaw_2	Dataset
4.88501183912789	8.05279723226421	Kim
-0.878376615786199	-2.60291179597981	Rossi
1.44580285475289	5.34651366292828	Kim
-2.874351096892	0.628656182879141	Campbell
2.11413471624887	-4.80045851648457	Moffit
3.14234774038827	-6.4144307035268	Moffit
-5.28442747666801	0.706682775610617	Campbell
-5.32676966264213	-5.01167830408222	Campbell
10.4108783476118	0.449273083800009	Flynn
2.883221792436	3.6617514234721	wenDropSeq
11.3330756895307	0.797749016874961	Flynn
-1.36058671548331	-1.71224638403065	Moffit
10.7017385236982	-0.782295133477518	Chen
3.49828283712899	5.89146462499493	Kim
6.29970805571115	-5.59322985590107	Moffit
7.40124766752755	-0.318040605193445	Flynn
9.88317124769723	-0.157701115614244	Flynn
-5.56769878938163	6.1829642397105	Campbell
-1.23110456540549	-3.74230607927448	Moffit
