cluster	agrp	pomc	pomc_glp1r	pomc_lepr
C286-253	0.000279197210593515	0.00212022488544939	0.000712640773699814	0.00171383402947675
C286-254	0.000741963613411881	0.00435322854363424	0.000652314908419661	0.00319365952552383
C286-255	0.00537335601766251	0.0204630542333701	0.0243231127940505	0.0168784392115393
C286-256	0.0023992648230806	0.0139957367584491	0.00607328766579663	0.00544903079046032
C286-257	0.0009008534813254	0.00422656407074908	0.000159029444418961	0.00161625886627113
C286-258	0.000669299806078596	0.00252603208346097	0.000671791399047758	0.00393348930415439
C286-259	0.0182646688809805	0.0144328237704026	0.000226650483052096	0.00473412968223089
C286-26	0.000145000629488367	5.32217470581578e-05	3.30325725881994e-05	0.000246871849584618
C286-260	0.00299117184154696	0.00326420627122801	0.00106691135392923	0.00457809400948856
C286-261	0.000379082824338195	0.00342909564442098	0.000438560248927351	0.00690949519968662
C286-262	0.00255466156004791	0.0066204329679562	0.000732143099783051	0.0043750344326546
C286-263	0.00265605056935187	0.0152290578111319	0.00415547453500563	0.0044333376804473
C286-264	0.00481277026412932	0.0263833897525135	0.000457619696282177	0.00469805497790788
C286-265	0.00702021871720488	0.00772162557717275	0.0024390317195541	0.00378136188156279
C286-266	0.0196751371209455	0.0046854068549453	0.00846284500831216	0.00375640307240235
C286-267	0.00665200746031367	0.00693134602649767	0.00790305847504616	0.00127598928226845
C286-268	0.00646760514823489	0.0162342661971081	0.0203377579795248	0.00558729915912413
C286-269	0.00886638936469521	0.0204740476989671	0.014512421510982	0.0199739332464613
C286-27	0	6.15280646406963e-05	3.30325725881994e-05	0.00213379108838024
C286-270	0.008746632814325	0.000697979505203763	0.00959356103542457	0.00974109885565972
C286-271	0.00749414656091162	0.00175692957941738	0.00340953045131846	0.00763131139501215
C286-272	0.00645079564422867	0.00401332167584315	0.00436437197861155	0.00864442975236632
C286-273	0.00771776154415897	0.00183955442797346	0.000942451161738898	0.00355615716757371
C286-274	0.0072319298491078	0.0278584676920599	0.000336538112163578	0.0130246671940456
C286-275	0.00700025513091423	0.0236582373063957	0.000267294492092819	0.0124322713531347
C286-276	0.00724264652821304	0.035822543632244	0.000270678248788965	0.0126113479244298
C286-277	0.00386922480469395	0.0180535249297859	0.000977415636351661	0.012592662931981
C286-278	0.00166547065859294	0.000874713539785419	0.00129733800751297	0.00455553714187457
C286-279	0.00543410192682338	0.00338657827170337	0.000399999822510603	0.00457526614534559
C286-28	0.00423054068374187	3.63159266499267e-05	0.000996212988284523	0.00179054755122689
C286-280	0.00858275874697651	0.00716991413344679	0.00443611929454208	0.00828280902200362
C286-281	0.0152976628213133	0.0556440572233998	0.000219710083968468	0.0137659862623684
C286-282	0.00979220933489822	0.0243583104317835	0.00136367143757521	0.0220440479776514
C286-283	0.00876758454208561	0.00258992819168093	0.00126894766039829	0.00498903786719029
C286-284	0.003466296180469	0.00071618717850406	0.00084818780056491	0.00143565518187241
C286-285	0.00146168284808147	0.00561692887957132	0.00101249632599764	0.0108864799991901
C286-286	0.0049893516558959	0.0311069177038674	0.00916856260038336	0.0369253802064852
C286-29	0.00254788127068561	0.00371442110351621	0.00310254791592133	0.00491555177087129
C286-3	0.00812228897158647	0.00228629371798642	0.0085750138050337	1.33389299776003e-05
C286-30	0	0.00102893831100502	0.00871394571077313	0.000995790463002137
C286-31	0.00409067803123972	0.000123412440849469	0.0119182290963473	0.000992882840213273
C286-32	0.00317051330079956	0.00540722292936306	0.0114505289056817	0.00146360848274283
C286-33	0.0152523127606187	0.023090699229467	0.0211308550203595	0.0211487867331837
C286-34	0	0.00248082512132778	0.0151860437164211	0.00150461895169814
C286-35	0	0.00102893831100502	0.00839343612622163	0.000992045569568566
C286-36	0.00162024933318706	0.00284901657699314	0.0118633987478641	0.0014933859585749
C286-37	0.00550910947524318	0.0027666223858092	0.0182212155610171	0.000870613284770012
C286-38	0.00177737068518164	0.00508167157170232	0.0216738368556659	0.00505795925831877
C286-39	0.00171469613023937	0.00345938231988574	0.0168396428702345	0.00768616467049398
C286-4	0.00011681060706185	0	0	0
C286-40	0.0116356955615874	6.23039207855383e-05	0.00494647834051973	0.000823065127974229
C286-41	0.00568020708062295	0.0028737310674463	0.00440155207466447	0.00260163754296676
C286-42	0.010662008346234	0.00292414084157012	0.0059891916630819	0.00244945424364289
C286-43	0.00948382771691483	0.00562396225557905	0.0192189672843614	0.00286149381404624
