p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
0	0.861619776684141	0.673	0.379	0	Slc25a3	0.294
0	0.865134266501565	0.492	0.205	0	Naca	0.287
0	0.74970831192394	0.544	0.271	0	Myl6	0.273
0	1.11690138069374	0.767	0.495	0	Rpl41	0.272
0	0.781202678921634	0.519	0.224	0	Rps26	0.295
0	1.13039040060586	0.634	0.425	0	Slc25a4	0.209
0	1.13956697460122	0.54	0.193	0	Ndufa13	0.347
0	0.837818750124883	0.67	0.498	0	Tmem59l	0.172
0	1.01028512952939	0.467	0.162	0	Rab3a	0.305
0	0.773450166096214	0.42	0.103	0	Rpl18a	0.317
0	0.598455837629735	0.328	0.06	0	Ndufb7	0.268
0	1.06801598710663	0.838	0.79	0	Tecr	0.0479999999999999
0	0.68638842470636	0.431	0.153	0	Calr	0.278
0	1.10985232264612	0.675	0.433	0	Mt3	0.242
0	1.72184792284123	0.564	0.171	0	Cox4i1	0.393
0	1.05157410327019	0.557	0.233	0	Rpl13	0.324
0	0.792008312271228	0.438	0.128	0	Tomm20	0.31
0	1.38816234009689	0.6	0.23	0	Rps24	0.37
0	0.91404935675295	0.541	0.255	0	Selenok	0.286
0	1.20988108390171	0.515	0.123	0	Spcs1	0.392
0	0.932882229996545	0.467	0.128	0	Dad1	0.339
0	0.641978570036467	0.787	0.63	0	Slc22a17	0.157
0	0.700785340662677	0.529	0.299	0	Ctsb	0.23
0	0.801813642782787	0.515	0.251	0	Clu	0.264
0	1.48292748066526	0.735	0.441	0	Itm2b	0.294
0	1.04724856605302	0.474	0.115	0	Tpt1	0.359
0	0.687859364121043	0.366	0.091	0	Gm10076	0.275
0	0.653710588546683	0.387	0.114	0	Ubl5	0.273
0	1.42446198877948	0.572	0.188	0	Hspa8	0.384
0	0.525933130521969	0.303	0.057	0	Rps25	0.246
0	0.892545256582101	0.488	0.257	0	Fxyd6	0.231
0	-0.584728212615373	0.094	0.335	0	Zbtb16	-0.241
0	0.574608323803611	0.34	0.082	0	Timm8b	0.258
0	0.756129921650531	0.579	0.354	0	Tspan3	0.225
0	1.00845930782253	0.518	0.251	0	Cox5a	0.267
0	0.831964850252401	0.524	0.303	0	Pkm	0.221
0	1.37956390185022	0.545	0.141	0	Rplp1	0.404
0	0.911241053955372	0.647	0.491	0	Eef1a1	0.156
0	0.714776601380483	0.452	0.189	0	Cox7a2	0.263
0	1.02333360126955	0.515	0.185	0	Rpsa	0.33
0	0.979332373635374	0.491	0.167	0	Rpl14	0.324
0	0.728163826197178	0.575	0.357	0	Selenom	0.218
0	0.671377529354292	0.431	0.162	0	Uqcr10	0.269
0	1.54287608343464	0.599	0.31	0	Ppia	0.289
0	0.927513085040094	0.669	0.529	0	Mdh1	0.14
0	1.41799074382595	0.573	0.176	0	Rps27a	0.397
0	0.701738908025512	0.435	0.163	0	Npm1	0.272
0	0.761983516157879	0.534	0.279	0	Uqcrq	0.255
0	0.917597276997791	0.565	0.313	0	Hint1	0.252
0	1.92800018457502	0.692	0.479	0	Ubb	0.213
0	0.925467652567317	0.437	0.081	0	Rpl26	0.356
0	0.582731501200366	0.391	0.147	0	Eif5a	0.244
0	0.675851345123701	0.839	0.741	0	6330403K07Rik	0.098
0	0.554356035210143	0.305	0.073	0	Aldoc	0.232
0	0.620688046536189	0.383	0.128	0	Dynll2	0.255
0	0.803057875590328	0.418	0.116	0	Nme1	0.302
0	0.858595852663429	0.532	0.23	0	Atp5g1	0.302
0	1.28937252756145	0.536	0.138	0	Rpl23	0.398
0	1.29759956964971	0.569	0.21	0	Rpl19	0.359
0	0.90787346539089	0.71	0.568	0	Eif1	0.142
0	1.16768356128718	0.306	0.05	0	Hcrt	0.256
0	0.545907555674718	0.337	0.089	0	Coa3	0.248
0	1.47254707816019	0.635	0.33	0	Rpl38	0.305
0	0.942219036074149	0.477	0.144	0	Atp5h	0.333
0	0.859830791632023	0.56	0.305	0	Actg1	0.255
0	0.881640306956423	0.553	0.312	0	Tubb2a	0.241
0	0.91088480748275	0.501	0.241	0	Sncb	0.26
0	0.826556788945446	0.42	0.092	0	Uqcrb	0.328
0	0.474064996274709	0.262	0.035	0	Ndufs6	0.227
0	0.606311846519195	0.695	0.489	0	Brd9	0.206
0	0.68562107194401	0.686	0.523	0	Cox7c	0.163
0	0.696926830226726	0.386	0.088	0	Rps23	0.298
0	0.708506340094507	0.467	0.215	0	Tbca	0.252
0	0.648214904325182	0.485	0.23	0	Pdia6	0.255
0	0.829471294560573	0.463	0.148	0	Rps7	0.315
0	0.919247504724474	0.5	0.22	0	Fkbp3	0.28
0	1.31464060692671	0.611	0.212	0	Rps29	0.399
0	1.48257138901183	0.948	0.946	0	Rtn1	0.002
0	0.696030277545076	0.497	0.262	0	Atp6v1d	0.235
0	1.68148281812873	0.636	0.497	0	Calm1	0.139
0	-0.470181326959819	1	1	0	Meg3	0
0	1.37302462185038	0.583	0.238	0	Hsp90aa1	0.345
0	0.659703461135265	0.383	0.101	0	Atp5mpl	0.282
0	-0.464202756606979	0.958	0.989	0	Ptprn2	-0.031
0	1.62529583437744	0.609	0.235	0	Rpl37	0.374
0	0.792266161265827	0.426	0.134	0	Sub1	0.292
0	0.827289882012623	0.458	0.132	0	Rpl30	0.326
0	1.08980097130857	0.511	0.161	0	Cox6c	0.35
0	0.985500241033696	0.978	0.957	0	Ly6h	0.021
0	1.22743159511278	0.551	0.199	0	Rpl8	0.352
0	0.944331678041457	0.488	0.171	0	Rpl3	0.317
0	0.56945795452605	0.368	0.122	0	Smdt1	0.246
0	0.829989635333882	0.437	0.111	0	Tuba1b	0.326
0	1.23856880392742	0.625	0.287	0	Tuba1a	0.338
0	0.747026882447416	0.433	0.142	0	Pfdn5	0.291
0	0.505843823755217	0.332	0.102	0	Pam16	0.23
0	1.13005134313883	0.505	0.127	0	Rpl35a	0.378
0	0.705635305270048	0.392	0.106	0	Tagln3	0.286
0	0.457386201218957	0.261	0.039	0	Rpl24	0.222
0	1.01550108060969	0.471	0.137	0	Atp5j	0.334
0	0.833088009480866	0.429	0.122	0	Atp5o	0.307
0	0.983212531352302	0.432	0.122	0	Pcp4	0.31
0	0.995674304037348	0.536	0.229	0	Elob	0.307
0	2.43413866369063	0.78	0.459	0	Atp6v0c	0.321
0	-0.57176245096217	0.447	0.698	0	Caskin1	-0.251
0	0.73477424437193	0.563	0.308	0	Rps2	0.255
0	0.741900902775611	0.414	0.118	0	Ndufb10	0.296
0	0.575627670394936	0.33	0.082	0	Uqcc2	0.248
0	0.491117507939609	0.275	0.038	0	Rps10	0.237
0	0.949520618173865	0.509	0.187	0	Rps28	0.322
0	0.766548212177739	0.43	0.137	0	Tubb5	0.293
0	2.3991986128735	0.945	0.895	0	ENSMUSG00000106106	0.0499999999999999
0	1.76000136379356	0.692	0.496	0	Hsp90ab1	0.196
0	0.921839298639361	0.572	0.244	0	Rpl36	0.328
0	0.851943328762709	0.474	0.157	0	Ndufa11	0.317
0	0.894485093873045	0.905	0.886	0	Calm2	0.019
0	0.720641642074302	0.484	0.226	0	Syt4	0.258
0	0.64383428053329	0.394	0.131	0	Ndufa2	0.263
0	0.67469615072504	0.921	0.922	0	Ndfip1	-0.001
0	0.725870443620591	0.474	0.194	0	Rps14	0.28
0	0.706453095016499	0.421	0.138	0	Sec11c	0.283
0	0.648007603103691	0.414	0.157	0	Rpl17	0.257
0	0.747453389405055	0.492	0.213	0	Cfl1	0.279
0	1.49477361052102	0.609	0.228	0	Fau	0.381
0	1.04694206815763	0.579	0.255	0	Fkbp2	0.324
0	0.943379224710692	0.647	0.421	0	Cox8a	0.226
0	1.71119414744638	0.637	0.342	0	Fth1	0.295
0	0.677253560339029	0.401	0.135	0	Pgam1	0.266
0	0.926316464716763	0.449	0.115	0	Ndufb8	0.334
0	0.979216574511061	0.542	0.272	0	Atp5md	0.27
0	0.662573778404436	0.372	0.077	0	mt-Rnr1	0.295
0	1.78031675822305	0.759	0.235	0	mt-Rnr2	0.524
0	1.17637708409241	0.506	0.114	0	mt-Nd1	0.392
0	0.765142746209027	0.394	0.077	0	mt-Nd2	0.317
0	0.52587973049702	0.303	0.065	0	mt-Co1	0.238
0	0.937206648356626	0.457	0.101	0	mt-Nd4	0.356
0	1.53888572222169	0.632	0.173	0	mt-Cytb	0.459
8.00372346291203e-304	0.617424948557443	0.481	0.245	4.43398276121864e-299	Tmem30a	0.236
5.63259588744057e-303	0.446770257999582	0.272	0.058	3.1204017956832e-298	Rpl7	0.214
1.2512675108584e-300	0.5206151926833	0.349	0.115	6.93189688340446e-296	Eif3k	0.234
1.51844246812543e-300	0.645271503011529	0.474	0.243	8.41201942916806e-296	Timp2	0.231
3.32661919808962e-300	0.57205513533509	0.382	0.142	1.84291376954967e-295	Ndufa7	0.24
8.47500167525417e-300	0.706330674117084	0.745	0.648	4.69506617807406e-295	Gap43	0.097
2.9517040685231e-299	0.447950337435564	0.288	0.073	1.63521453692111e-294	Cops9	0.215
1.15310358107199e-298	0.605153343310326	0.488	0.249	6.38807852878073e-294	Ddrgk1	0.239
6.93076752583902e-298	1.05043423339594	0.472	0.263	3.83957590163956e-293	Ndn	0.209
2.2263665685025e-296	0.614086414552799	0.401	0.165	1.2333848152847e-291	Gpx4	0.236
7.2355499537454e-295	0.600046725894303	0.44	0.202	4.00842231887542e-290	Arhgdig	0.238
6.8086042739775e-292	0.669110739835451	0.514	0.303	3.7718986817408e-287	Tspyl4	0.211
2.58236505291054e-290	0.519337718954704	0.33	0.101	1.43060441566191e-285	Pomp	0.229
6.34742872500119e-290	0.589131013955172	0.443	0.21	3.51641203936341e-285	Psmb1	0.233
9.54259644673776e-290	0.554573309777904	0.383	0.153	5.28650300552825e-285	Ran	0.23
1.79874024623575e-287	0.554652655715455	0.415	0.179	9.96484109012141e-283	Rpl29	0.236
3.52545598632479e-286	0.631957269591173	0.479	0.26	1.95306736186407e-281	Atp5pb	0.219
3.86341267286652e-286	0.636879508346809	0.533	0.322	2.14029198664132e-281	H2az1	0.211
7.96881284889426e-286	0.538550695707788	0.374	0.143	4.41464263015893e-281	Hras	0.231
2.60255317581222e-283	0.483361500097542	0.32	0.101	1.44178843386821e-278	Arxes2	0.219
3.40230389369798e-283	0.475220775419017	0.317	0.098	1.88484233406974e-278	Psmb6	0.219
8.84587508809885e-281	0.631832443892991	0.636	0.452	4.90052634005588e-276	Ckb	0.184
1.99637260953222e-279	0.40501332086	0.971	0.962	1.10597046195476e-274	9330162G02Rik	0.00900000000000001
4.20949802064273e-278	-0.304669208046553	0.978	0.99	2.33201980845587e-273	Snrnp70	-0.012
4.57708957982673e-278	0.499631230828047	0.326	0.104	2.53566185632821e-273	Psmb5	0.222
1.51685338071655e-277	0.576242257673658	0.403	0.174	8.40321604383159e-273	Atp5d	0.229
3.70765822806316e-277	0.758259550641576	0.467	0.259	2.05400558176471e-272	Mir6236	0.208
